"ANO_ELEICAO","NUM_TURNO","SIGLA_UE","CODIGO_CARGO","NOME_URNA_CANDIDATO","NUMERO_CANDIDATO"
2012,1,"13897",11,"INACIO ARRUDA",65
2012,1,"14095",11,"MARCOS NUNES",15
2012,1,"14095",11,"JAIME JUNIOR",25
2012,1,"14117",11,"ADERILO",10
2012,1,"14117",11,"MURILO BRAGA",23
2012,1,"14117",11,"PAULO LIMA",36
2012,1,"14117",11,"MIRIAN SOBREIRA",40
2012,1,"14435",11,"ANALEDA LUZ",15
2012,1,"14435",11,"CREMILDA",55
2012,1,"14478",11,"DR SANTANA",13
2012,1,"14478",11,"RAIMUNDAO",15
2012,1,"14478",11,"DEMONTIEUX JORNAL",50
2012,1,"14516",11,"DR TAVINHO",10
2012,1,"14516",11,"ILDSSER",15
2012,1,"14516",11,"CARLOS OLAVO",40
2012,1,"14575",11,"PAREDAO",11
2012,1,"14575",11,"ROGER",55
2012,1,"14699",11,"DR TARDINY",13
2012,1,"14699",11,"VICENTE EMATERCE",20
2012,1,"14699",11,"WASHINGTON FECHINE",40
2012,1,"15270",11,"JOAO SAPATARIA",10
2012,1,"15270",11,"ILARIO MARQUES",13
2012,1,"15270",11,"ZE NILSON",45
2012,1,"15296",11,"DR ROMULO",40
2012,1,"15296",11,"CIRILO PIMENTA",55
2012,1,"15458",11,"FABIANO",15
2012,1,"15458",11,"TOMAS FIGUEIREDO",45
2012,1,"15458",11,"CHAGAS MESQUITA",55
2012,1,"15598",11,"VEVEU",13
2012,1,"15598",11,"DR GUIMARAES",43
2012,1,"15598",11,"MARCO PRADO",45
2012,1,"15598",11,"PROFESSOR OSVALDO",50
2012,1,"15679",11,"PATRICIA",15
2012,1,"15679",11,"DR CARLOS WINDSON",22
2012,1,"15679",11,"JOSIVALDO",45
2012,1,"15814",11,"HOMERO",11
2012,1,"15814",11,"CAUBI BEZERRA",36
2012,1,"15814",11,"VANDERLEI",55
2012,1,"15857",11,"FIRMO CAMURCA",22
2012,1,"15857",11,"SERGIO MORAES",28
2012,1,"15857",11,"CIRO AUGUSTO",50
2012,1,"15857",11,"JULIO CESAR",55
2012,1,"56073",11,"MARQUINHOS",14
2012,1,"56073",11,"RENATO LORENCINI",40
2012,1,"56111",11,"MARCELO COELHO",12
2012,1,"56111",11,"JONES CAVAGLIERI",40
2012,1,"56111",11,"DOUTORA GILCINEA",50
2012,1,"56154",11,"DR ERALDO",40
2012,1,"56154",11,"NETO BARROS",65
2012,1,"56235",11,"CASTEGLIONE",13
2012,1,"56235",11,"GLAUBER COELHO",22
2012,1,"56251",11,"LUCIA DORNELLAS",13
2012,2,"56251",11,"MARCELO SANTOS",15
2012,1,"56251",11,"MARCELO SANTOS",15
2012,1,"56251",11,"JUNINHO",23
2012,2,"56251",11,"JUNINHO",23
2012,1,"56251",11,"SANDRO LOCUTOR",43
2012,1,"56251",11,"AVELINA",55
2012,1,"56294",11,"DA VITORIA",12
2012,1,"56294",11,"LEONARDO",13
2012,1,"56472",11,"CARLOS VON",17
2012,1,"56472",11,"EDSON MAGALHAES",23
2012,1,"56472",11,"ORLY",25
2012,1,"56472",11,"DRª BETH HADAD",31
2012,1,"56472",11,"RICARDO CONDE",40
2012,1,"56472",11,"EDINHO MAIOLI",43
2012,1,"56634",11,"NOZINHO CORREA",12
2012,1,"56634",11,"ZE CARLOS ELIAS",14
2012,1,"56634",11,"GUERINO ZANON",15
2012,1,"56634",11,"MILENA",43
2012,1,"56634",11,"PROFESSOR JOAO LUIZ TEIXEIRA",65
2012,1,"56979",11,"PAULO ROBERTO",15
2012,1,"56979",11,"AMADEU BOROTO",40
2012,1,"56979",11,"PEDRO HEMERLY",43
2012,1,"56995",11,"JESUS VAZ",10
2012,1,"56995",11,"SERGIO VIDIGAL",12
2012,1,"56995",11,"AUDIFAX",40
2012,1,"56995",11,"PROFESSOR RENATO",50
2012,1,"56995",11,"VENTURINI",54
2012,1,"57037",11,"BABA",13
2012,2,"57037",11,"NEUCIMAR",22
2012,1,"57037",11,"NEUCIMAR",22
2012,1,"57037",11,"RODNEY MIRANDA",25
2012,2,"57037",11,"RODNEY MIRANDA",25
2012,1,"57037",11,"MAX FILHO",45
2012,1,"57037",11,"ALAN CLAUDIO MELO",50
2012,1,"57053",11,"JENNER DINHO",12
2012,1,"57053",11,"IRINY LOPES",13
2012,1,"57053",11,"LUCIANO REZENDE",23
2012,2,"57053",11,"LUCIANO REZENDE",23
2012,1,"57053",11,"EDSON RIBEIRO",27
2012,1,"57053",11,"MONTALVANI",28
2012,2,"57053",11,"LUIZ PAULO",45
2012,1,"57053",11,"LUIZ PAULO",45
2012,1,"57053",11,"GUSTAVO BIASE",50
2012,1,"92118",11,"EDMAR",23
2012,1,"92118",11,"ALAN BARBOSA",40
2012,1,"92215",11,"JOSE LIMA",12
2012,1,"92215",11,"ANTONIO GOMIDE",13
2012,1,"92215",11,"ELISMAR VEIGA",23
2012,1,"92215",11,"WILSON OLIVEIRA",25
2012,1,"92215",11,"GERSON FALLACCI",31
2012,1,"92274",11,"MAGUITO VILELA",15
2012,1,"92274",11,"BERNARDO BISPO",21
2012,1,"92274",11,"TANNER MELO",25
2012,1,"92274",11,"ALBERICO",50
2012,1,"92274",11,"ADEMIR MENEZES",55
2012,1,"92630",11,"DR GERALDO MARTINS",13
2012,1,"92630",11,"ORIPAO",45
2012,1,"92770",11,"TIAOZINHO OTICA",14
2012,1,"92770",11,"MARCO AURELIO",25
2012,1,"92894",11,"MAGAL",11
2012,1,"92894",11,"EVANDO CRUZ",13
2012,1,"92894",11,"GESIMAR",40
2012,1,"92894",11,"FREDERICO NASSIF",43
2012,1,"93017",11,"ALVARO ADUCAT",13
2012,1,"93017",11,"ADIB ELIAS",15
2012,1,"93017",11,"GIOVANI CORTOPASSI",31
2012,1,"93017",11,"JARDEL",45
2012,1,"93254",11,"DRA ELIANE",12
2012,1,"93254",11,"EDU MARTINI",14
2012,1,"93254",11,"SILTON OK",54
2012,1,"93254",11,"LUIZ ATTIE",55
2012,1,"93300",11,"PROFESSORA LUCIMAR",13
2012,1,"93300",11,"ADOLFO LOPES",33
2012,1,"93300",11,"LEDA BORGES",45
2012,1,"93300",11,"VARGAS ALVES",50
2012,1,"93327",11,"PROFESSORA SONIA CHAVES",45
2012,1,"93327",11,"DR CARLOS",50
2012,1,"93327",11,"EVERALDO DETRAN",54
2012,1,"93440",11,"RICARDO",15
2012,1,"93440",11,"VALMIR",20
2012,1,"93440",11,"FABIM POMBO",22
2012,1,"93440",11,"EDIMAR",45
2012,1,"93505",11,"CIRLEI ARAUJO",14
2012,1,"93505",11,"JUNIO PH",15
2012,1,"93505",11,"WALDILEI LEMOS",25
2012,1,"93505",11,"ANIVALDO SENA",50
2012,1,"93734",11,"PAULO GARCIA",13
2012,1,"93734",11,"JOVAIR ARANTES",14
2012,1,"93734",11,"RUBENS DONIZZETI",16
2012,1,"93734",11,"SIMEYZON",20
2012,1,"93734",11,"ELIAS JUNIOR",33
2012,1,"93734",11,"PROFESSOR PANTALEAO",50
2012,1,"93734",11,"JOSE NETHO",54
2012,1,"93734",11,"ISAURA LEMOS",65
2012,1,"93939",11,"AGUINALDO RAMOS",40
2012,1,"93939",11,"QUINTINO",55
2012,1,"94137",11,"DEDIZIM CELG",12
2012,1,"94137",11,"MARIO MACACO",14
2012,1,"94137",11,"OLIZETE",15
2012,1,"94137",11,"GILMAR TEIXEIRA",25
2012,1,"94196",11,"JABEZ MELO",10
2012,1,"94196",11,"DIVA CAMARGO",45
2012,1,"94196",11,"DAVES SOARES",55
2012,1,"94250",11,"CHICO BALLA",14
2012,1,"94250",11,"GUGU NADER",15
2012,1,"94250",11,"JOAO MARIA",50
2012,1,"94595",11,"DRA IVANE",13
2012,1,"94595",11,"AGENOR REZENDE",15
2012,1,"94595",11,"JUNIOR CITRO CINCO",45
2012,1,"94730",11,"ROGERIO",14
2012,1,"94730",11,"TIAGO",15
2012,1,"95036",11,"CHADUD",14
2012,1,"95036",11,"FELIPE DIAS",15
2012,1,"95230",11,"JANETE MORAIS",14
2012,1,"95230",11,"EDSON CASA APOIO",25
2012,1,"95230",11,"VICENTE COELHO",55
2012,1,"95630",11,"PAULO CEZAR MARTINS",15
2012,1,"95630",11,"ODAIR RESENDE",25
2012,1,"95630",11,"STENIO RODRIGUES",55
2012,1,"95915",11,"ETELIA",12
2012,1,"95915",11,"DALECIO",13
2012,1,"95915",11,"DIMA",15
2012,1,"95915",11,"QUINCA DECO",23
2012,1,"95915",11,"TRAJANO PINHEIRO",45
2012,1,"95915",11,"CLEITON MARTINS",45
2012,1,"96733",11,"DONA CIDA",11
2012,1,"96733",11,"ADEIR",31
2012,1,"96733",11,"ROBSON LIMA",40
2012,1,"96733",11,"JOSELIR",45
2012,1,"07064",11,"CECE MONTEIRO",15
2012,1,"07064",11,"LOURIVAL",20
2012,1,"07064",11,"CLAUDIO CUNHA",43
2012,1,"07072",11,"DELSON LOPES",10
2012,1,"07072",11,"ARNALDO",13
2012,1,"07072",11,"DR RICARDO",15
2012,1,"07102",11,"VALMIR AMORIM",22
2012,1,"07102",11,"MARCIO WEBA",55
2012,1,"07129",11,"ALAN",14
2012,1,"07129",11,"CALVET",20
2012,1,"07129",11,"FERNANDA GONCALO",33
2012,1,"07129",11,"OLGA CALVET",43
2012,1,"07137",11,"EDUARDO CASTELO BRANCO",11
2012,1,"07137",11,"HELDER ARAGAO",15
2012,1,"07137",11,"PROFESSOR WELITON",43
2012,1,"07153",11,"TINA MONTELES",10
2012,1,"07153",11,"PROFESSORA VANDERLY",14
2012,1,"07153",11,"RAIMUNDO DINIZ",31
2012,1,"07196",11,"AURINETE FREITAS",11
2012,1,"07196",11,"DJALMA MELO",14
2012,1,"07196",11,"SIMPLESMENTE MARIA",15
2012,1,"07196",11,"TOTO VALE",65
2012,1,"07200",11,"GERONIMO",13
