"NOME_URNA_CANDIDATO","CODIGO_CARGO","SIGLA_UE","NUMERO_CANDIDATO","NUM_TURNO","ANO_ELEICAO"
"LINDOMAR DANTAS",11,"39390",65,1,2020
"ALCEU MARON",11,"77453",90,1,2020
"DR WELINGTON",11,"42676",55,1,2020
"DR CACAU",11,"25437",13,1,2020
"LUCIANO LAQUINI",11,"57134",40,1,2020
"JESUALDO",11,"05932",12,1,2020
"JUNIOR ROCHA",11,"04804",15,1,2020
"RAFFANI SOUZA",11,"36692",10,1,2020
"GERSON",11,"62197",12,1,2020
"GESIEL DUARTE",11,"63770",10,1,2020
"JOAO CELSO TARGINO",11,"17957",15,1,2020
"EDELO FERRARI",11,"90468",25,1,2020
"SANDRO AMORIM",11,"28215",28,1,2020
"LEO CUNHA",11,"09636",22,1,2020
"HELDER ARAGAO",11,"07137",15,1,2020
"EDIVALDINHO NENCA",11,"33413",19,1,2020
"JOAO SILVA",11,"31291",11,1,2020
"CARLOS SILVA",11,"21490",13,1,2020
"FRANCISCA PRIMO",11,"07340",22,1,2020
"HELDER BOVO",11,"61654",28,1,2020
"ANTONIO CARLOS",11,"28452",33,1,2020
"EDSON PALMEIRAS",11,"95877",25,1,2020
"PEDRAO",11,"81051",22,1,2020
"REGIS",11,"13471",77,1,2020
"TONINHO",11,"16217",40,1,2020
"LAERCIO PASSOS",11,"32212",13,1,2020
"NANA",11,"04103",14,1,2020
"ANELISIO ASSESSORITEC",11,"81795",70,1,2020
"VALTEIR QUEIROZ",11,"00477",51,1,2020
"JUNIOR LOUREIRO",11,"27715",11,1,2020
"IRON SOLDADO",11,"94137",22,1,2020
"MARIA MARQUES",11,"92541",15,1,2020
"DR ELIAS AJUB",11,"67172",10,1,2020
"COMANDANTE RANGEL",11,"30007",22,1,2020
"MARLI GAVA",11,"41114",17,1,2020
"TANAH CORREA",11,"70718",23,1,2020
"KARLA MARIA",11,"08494",20,1,2020
"CAPITAO VIRGINIO",11,"49573",33,1,2020
"LAZARO LOPES",11,"02259",19,1,2020
"HAROLDO",11,"16225",22,1,2020
"WALDEMAR",11,"58394",12,1,2020
"BONEZINHO CORROCHEL",11,"61654",14,1,2020
"XERIFE ZE MARIA",11,"72338",70,1,2020
"OSNI",11,"39098",13,1,2020
"FRANCA",11,"04120",10,1,2020
"CAPITAO RODRIGO",11,"61778",11,1,2020
"JAIR LUIZ",11,"00337",19,1,2020
"JOAQUIM FARMACIA",11,"11550",55,1,2020
"JOSE SALOMAO",11,"93416",13,1,2020
"ZE ANTONIO",11,"94250",10,1,2020
"BAYARD",11,"70718",14,1,2020
"FRANCYS ALMEIDA",11,"68756",65,1,2020
"BABA",11,"18554",10,1,2020
"RENATA FIORIO",11,"56235",55,1,2020
"LUIZ",11,"75639",13,1,2020
"JOEL PIZZARIA",11,"10049",77,1,2020
"CARLAO",11,"36919",55,1,2020
"MARISA LOBO",11,"75353",70,1,2020
"FERNANDO PL",11,"07668",22,1,2020
"PROFESSOR MAX",11,"35971",50,1,2020
"FILIPE MARCHESONI",11,"70971",30,1,2020
"CORONEL MENEZES",11,"02550",51,1,2020
"PERIS",11,"38865",11,1,2020
"TENENTE RAJAO",11,"93343",51,1,2020
"DR ALEXANDRE",11,"09199",14,1,2020
"CARLOS ALEXANDRE",11,"70971",65,1,2020
"TUNINHO FARES",11,"58653",27,1,2020
"PAULO HERNANDES",11,"73121",25,1,2020
"OZIEL OLIVEIRA",11,"30007",55,1,2020
"PROFESSORA MILAGRES",11,"08974",50,1,2020
"AIRTON GARCIA",11,"70793",17,1,2020
"PROF OLIVEIRA",11,"08176",22,1,2020
"MARCELO BELINATI",11,"76678",11,1,2020
"HAMILTON BORGES",11,"93343",17,1,2020
"MARIA MANEA",11,"90301",55,1,2020
"JUNINHO NICOLAU",11,"42870",70,1,2020
"DR PAULO RAYE",11,"90352",90,1,2020
"GEAN BARROS",11,"02518",15,1,2020
"AURELINO LOPES",11,"27391",15,1,2020
