UF;ELE_UF;PARTIDO;FILIADOS
GO;4.574.694;PSC;17.535
GO;4.574.694;PSD;15.022
GO;4.574.694;PSDB;73.142
GO;4.574.694;PSL;18.552
GO;4.574.694;PSOL;3.442
GO;4.574.694;PSTU;232
GO;4.574.694;PT;44.629
GO;4.574.694;PTB;35.010
GO;4.574.694;PTC;13.950
GO;4.574.694;PV;10.187
GO;4.574.694;REDE;786
GO;4.574.694;REPUBLICANOS;15.156
GO;4.574.694;SOLIDARIEDADE;9.368
GO;4.574.694;UP;21
MA;4.538.323;AVANTE;12.023
MA;4.538.323;CIDADANIA;14.023
MA;4.538.323;DC;11.328
MA;4.538.323;DEM;37.766
MA;4.538.323;MDB;45.962
MA;4.538.323;NOVO;335
MA;4.538.323;PATRIOTA;21.816
MA;4.538.323;PCB;1.523
MA;4.538.323;PCDOB;30.313
MA;4.538.323;PCO;43
MA;4.538.323;PDT;41.546
MA;4.538.323;PL;30.576
MA;4.538.323;PMB;2.533
MA;4.538.323;PMN;12.367
MA;4.538.323;PODE;17.457
MA;4.538.323;PP;34.676
MA;4.538.323;PROS;5.068
MA;4.538.323;PRTB;12.541
MA;4.538.323;PSB;22.199
MA;4.538.323;PSC;18.616
MA;4.538.323;PSD;11.683
MA;4.538.323;PSDB;33.446
MA;4.538.323;PSL;18.530
MA;4.538.323;PSOL;4.640
MA;4.538.323;PSTU;245
MA;4.538.323;PT;29.436
MA;4.538.323;PTB;40.390
MA;4.538.323;PTC;11.088
MA;4.538.323;PV;20.952
MA;4.538.323;REDE;1.351
MA;4.538.323;REPUBLICANOS;19.504
MA;4.538.323;SOLIDARIEDADE;15.218
MA;4.538.323;UP;5
MG;15.790.851;AVANTE;34.270
MG;15.790.851;CIDADANIA;49.341
MG;15.790.851;DC;18.492
MG;15.790.851;DEM;134.363
MG;15.790.851;MDB;198.466
MG;15.790.851;NOVO;5.290
MG;15.790.851;PATRIOTA;30.831
MG;15.790.851;PCB;427
MG;15.790.851;PCDOB;33.920
MG;15.790.851;PCO;755
MG;15.790.851;PDT;104.922
MG;15.790.851;PL;92.787
MG;15.790.851;PMB;2.271
MG;15.790.851;PMN;30.652
MG;15.790.851;PODE;45.455
MG;15.790.851;PP;126.487
MG;15.790.851;PROS;11.941
MG;15.790.851;PRP;1
MG;15.790.851;PRTB;18.880
MG;15.790.851;PSB;50.973
MG;15.790.851;PSC;49.541
MG;15.790.851;PSD;38.917
MG;15.790.851;PSDB;146.272
MG;15.790.851;PSL;41.983
MG;15.790.851;PSOL;7.362
MG;15.790.851;PSTU;1.181
MG;15.790.851;PT;169.082
MG;15.790.851;PTB;129.695
MG;15.790.851;PTC;26.210
MG;15.790.851;PV;47.931
MG;15.790.851;REDE;5.047
MG;15.790.851;REPUBLICANOS;40.031
MG;15.790.851;SOLIDARIEDADE;28.980
MG;15.790.851;UP;79
MS;1.882.429;AVANTE;3.733
MS;1.882.429;CIDADANIA;7.232
MS;1.882.429;DC;1.821
MS;1.882.429;DEM;18.086
MS;1.882.429;MDB;46.135
MS;1.882.429;NOVO;637
MS;1.882.429;PATRIOTA;6.658
MS;1.882.429;PCB;246
MS;1.882.429;PCDOB;2.920
