id,nome,siglaPartido,siglaUf,fundeb,orcamento,previdencia,wilson
178951,Rafael Motta,PSB,RN,Sim,Sim,Não,NA
216313,Rafafá,PSDB,PB,NA,NA,NA,NA
204567,Raimundo Costa,PL,BA,Não,Não,Sim,Sim
141523,Raul Henry,MDB,PE,Sim,Não,Sim,Sim
74161,Reginaldo Lopes,PT,MG,Sim,Sim,Não,Sim
205865,Reinhold Stephanes Junior,PSD,PR,Não,NA,Sim,Abstenção
178925,Rejane Dias,PT,PI,Sim,Sim,Não,NA
178989,Renata Abreu,PODE,SP,Sim,NA,Sim,NA
214477,Renato Queiroz,MDB,RR,Sim,NA,NA,NA
73801,Renildo Calheiros,PCdoB,PE,Sim,Sim,Não,NA
73788,Ricardo Barros,PP,PR,Não,Não,Sim,Sim
215042,Ricardo da Karol,PSC,RJ,NA,NA,NA,NA
204362,Ricardo Guidi,PSD,SC,Sim,Não,Sim,Não
160655,Ricardo Izar,PP,SP,Não,Não,Sim,Sim
211649,Ricardo Pericar,PSL,RJ,NA,NA,NA,NA
213274,Ricardo Silva,PSB,SP,Sim,NA,NA,NA
178920,Ricardo Teobaldo,PODE,PE,Sim,Não,Sim,Sim
204489,Robério Monteiro,PDT,CE,Sim,Sim,Não,NA
152610,Roberto Alves,REPUBLICANOS,SP,Não,Não,Sim,Sim
73674,ROBERTO BALESTRA,PP,GO,NA,NA,NA,NA
160653,Roberto de Lucena,PODE,SP,Não,Não,Sim,Não
74305,Roberto Pessoa,PSDB,CE,NA,NA,Sim,NA
204530,Rodrigo Agostinho,PSB,SP,Sim,Sim,Sim,Não
204366,Rodrigo Coelho,PSB,SC,Não,Não,Sim,Não
141531,Rodrigo de Castro,PSDB,MG,Sim,NA,Sim,Sim
74693,Rodrigo Maia,DEM,RJ,Artigo 17,Não,Sim,Artigo 17
204480,Rogério Correia,PT,MG,Sim,Sim,Não,Sim
160651,Rogério Peninha Mendonça,MDB,SC,NA,Não,Sim,Sim
178930,Roman,PATRIOTA,PR,Sim,Não,Sim,NA
178861,Ronaldo Carletto,PP,BA,Não,Não,Sim,Sim
122466,Ronaldo Martins,REPUBLICANOS,CE,NA,NA,NA,NA
204525,Rosana Valle,PSB,SP,Sim,Não,Sim,Não
178945,Rosangela Gomes,REPUBLICANOS,RJ,Não,Não,Sim,Sim
204357,Rose Modesto,PSDB,MS,Sim,Não,Sim,Não
