"city","voto_obrig"
"2111672",2047
"2111706",9478
"2111722",4161
"2111748",3742
"2111763",7116
"2111789",3980
"2111805",7591
"2111904",4443
"2111953",1754
"2112001",3447
"2112100",9625
"2112209",80725
"2112233",8752
"2112274",1974
"2112308",15580
"2112407",13926
"2112456",8509
"2112506",19768
"2112605",9146
"2112704",18409
"2112803",23547
"2112852",4581
"2112902",13101
"2113009",12436
"2114007",21892
"2200053",2986
"2200103",2327
"2200202",7838
"2200251",2692
"2200277",2053
"2200301",5965
"2200400",18696
"2200459",2198
"2200509",7480
"2200608",3230
"2200707",3960
"2200806",1454
"2200905",2553
"2200954",1054
"2201002",1897
"2201051",2456
"2201101",5141
"2201150",4523
"2201176",1684
"2201200",18690
"2201309",1504
"2201408",2948
"2201507",9736
"2201556",1786
"2201572",1309
"2201606",4270
"2201705",2514
"2201739",2108
"2201770",2353
"2201804",2239
"2201903",11470
"2201919",2192
"2201929",2267
"2201945",2610
"2201960",3299
"2201988",1407
"2202000",8196
"2202026",3295
"2202059",4117
"2202075",1423
"2202083",2831
"2202091",2252
"2202109",2512
"2202117",1876
"2202133",2343
"2202174",2302
"2202208",23544
"2202251",1720
"2202307",8657
"2202406",4507
"2202455",1665
"2202505",3993
"2202539",1809
"2202554",1931
"2202604",8018
"2202653",1552
"2202703",9707
"2202711",1924
"2202729",2150
"2202737",1625
"2202752",2870
"2202778",2974
"2202802",1933
"2202851",2002
"2202901",12101
"2203008",3404
"2203107",4277
"2203206",5189
"2203230",1752
"2203255",1699
"2203271",1764
"2203305",6368
"2203354",3007
"2203404",3194
"2203420",1714
"2203453",4495
"2203503",6317
"2203602",2356
"2203701",16728
"2203750",1861
"2203800",1760
"2203859",872
"2203909",33171
"2204006",2138
"2204105",1995
"2204154",1197
"2204204",4149
"2204303",5186
"2204352",2212
"2204402",4399
"2204501",5243
"2204550",1552
"2204600",1605
"2204659",4001
"2204709",6793
"2204808",4607
"2204907",3090
"2205003",4533
"2205102",5048
"2205151",2277
"2205201",6640
"2205250",1926
"2205276",2107
"2205300",2044
"2205359",1368
"2205409",5288
"2205458",1828
"2205508",18055
"2205516",2015
"2205524",2634
"2205532",1785
"2205540",1179
"2205557",3250
"2205565",2040
"2205573",2383
"2205581",1771
"2205599",1967
"2205607",2410
"2205706",12149
"2205805",9554
"2205854",3010
"2205904",2403
"2205953",3058
"2206001",2129
"2206050",2178
"2206100",4002
"2206209",11325
"2206308",537
"2206357",2494
"2206407",4977
"2206506",3169
"2206605",4564
"2206654",1689
"2206670",2471
"2206696",2893
"2206704",3132
"2206720",3501
"2206753",2311
"2206803",2958
"2206902",2732
"2206951",1301
"2207009",16807
"2207108",1276
"2207207",2406
"2207306",1781
"2207355",1477
"2207405",2193
"2207504",5541
"2207553",1469
"2207603",4317
"2207702",79135
"2207751",1729
"2207777",2370
"2207793",1492
"2207801",8677
"2207850",1495
"2207900",15097
"2207934",1150
"2207959",1745
"2208007",41724
"2208106",4471
"2208205",7070
"2208304",12044
"2208403",29730
"2208502",4038
"2208551",1154
"2208601",1147
"2208650",3789
"2208700",3723
"2208809",7548
"2208858",1926
"2208874",1769
"2208908",3068
"2209005",2800
"2209104",2539
"2209153",1541
"2209203",2527
"2209302",2445
"2209351",2180
"2209377",2167
"2209401",2800
"2209450",893
"2209500",1661
"2209559",1894
"2209609",1407
"2209658",1979
"2209708",2560
"2209757",1217
"2209807",2168
"2209856",1701
"2209872",1943
"2209906",2341
"2209955",1880
"2209971",2678
"2210003",9708
"2210052",2081
"2210102",1572
"2210201",2461
"2210300",2280
"2210359",2202
"2210375",1028
"2210383",815
"2210391",1157
"2210409",7120
"2210508",5944
"2210607",16582
"2210623",1690
"2210631",1916
"2210656",4039
"2210706",5756
"2210805",5927
"2210904",1962
"2210938",2857
"2210953",996
"2210979",1113
"2211001",506370
"2211100",18339
"2211209",10359
"2211308",9974
"2211357",1971
"2211407",1854
"2211506",1014
"2211605",1469
"2211704",1719
"2300101",4471
"2300150",7394
"2300200",24096
"2300309",21506
"2300408",6196
"2300507",4568
"2300606",2747
"2300705",7346
"2300754",16274
"2300804",2823
"2300903",6303
"2301000",37395
"2301109",36398
"2301208",10681
"2301257",4170
"2301307",8064
"2301406",5124
"2301505",3256
"2301604",9084
"2301703",11273
"2301802",2929
"2301851",7091
"2301901",28492
"2301950",9006
"2302008",10259
"2302057",5309
"2302107",15584
"2302206",23548
"2302305",13792
"2302404",21045
"2302503",22669
"2302602",26691
"2302701",11524
"2302800",33369
"2302909",7668
"2303006",8609
"2303105",7726
"2303204",10577
"2303303",7850
"2303402",6680
"2303501",32705
"2303600",8849
"2303659",4293
"2303709",180508
"2303808",11114
"2303907",5113
"2303931",4918
"2303956",8399
"2304004",8095
"2304103",34768
"2304202",66728
"2304236",6242
"2304251",9965
"2304269",3837
"2304277",3018
"2304285",25220
"2304301",8414
"2304350",10181
"2304400",1552771
"2304459",6985
"2304509",5007
"2304608",2413
"2304657",5403
"2304707",17469
"2304806",1958
"2304905",4859
"2304954",11470
"2305001",15524
"2305100",2082
"2305209",8054
"2305233",30049
"2305266",5018
"2305308",10624
"2305332",5183
"2305357",9050
"2305407",27894
"2305506",49664
"2305605",11693
"2305654",4298
"2305704",5476
"2305803",17362
"2305902",14800
"2306009",6443
"2306108",9557
"2306207",3789
"2306256",19005
"2306306",22293
"2306405",53479
"2306504",7757
"2306553",16037
"2306603",7342
"2306702",7979
"2306801",4911
"2306900",15893
"2307007",15348
"2307106",11644
"2307205",3610
"2307254",7935
"2307304",133812
"2307403",9957
"2307502",14061
"2307601",30418
"2307635",7686
"2307650",123976
"2307700",60847
"2307809",10299
"2307908",4055
"2308005",14780
"2308104",19060
"2308203",6871
"2308302",13219
"2308351",5850
"2308377",4853
"2308401",15231
"2308500",17239
"2308609",6985
"2308708",28549
"2308807",3321
"2308906",8567
"2309003",5760
"2309102",5288
"2309201",6737
"2309300",14150
"2309409",11302
"2309458",10267
"2309508",9707
"2309607",32324
"2309706",41891
"2309805",5613
"2309904",2607
"2310001",4404
"2310100",5436
"2310209",15639
"2310258",14723
"2310308",11738
"2310407",4500
"2310506",16883
"2310605",3764
"2310704",16581
"2310803",6697
"2310852",9193
"2310902",7329
"2310951",4222
"2311009",4683
"2311108",6564
"2311207",3986
"2311231",2823
"2311264",8125
"2311306",38456
"2311355",5952
"2311405",33257
"2311504",9137
"2311603",12560
"2311702",7947
"2311801",36959
"2311900",6417
"2311959",5249
"2312007",12738
"2312106",6916
"2312205",19011
"2312304",19127
"2312403",22373
"2312502",4067
"2312601",6134
"2312700",12297
"2312809",2733
"2312908",101345
"2313005",8407
"2313104",15151
"2313203",10523
"2313252",3412
"2313302",25182
"2313351",7169
"2313401",31300
"2313500",23147
"2313559",6138
"2313609",14830
"2313708",3214
"2313757",7912
"2313807",9278
"2313906",4631
"2313955",7780
"2314003",17597
"2314102",20890
"2400109",6088
"2400208",27183
"2400307",4595
"2400406",1476
"2400505",5748
"2400604",2391
"2400703",6691
"2400802",5527
"2400901",3022
"2401008",18261
"2401107",14417
"2401206",6074
"2401305",4050
"2401404",4161
"2401453",10467
"2401503",1705
"2401602",2163
"2401651",1214
