,fala_id,candidato,tema,ordem,tipo,Num. sílabas,Num. pausas,Duração,Tempo de fala,Ritmo de fala,Ritmo de articulação,intensity mean,intensity quant,pitch mean,pitch var fala,pitch var sil
12,89_marina_mulheres-negras_p,Marina,mulheres negras,89,pergunta,101,12,27.323333333333334,19.791999999999994,3.6964743198731242,5.103071948261926,68.9981358692976,72.56881708868607,254.47227068373857,33.36214268553101,15.398375405339925
13,63_joice_transporte_c,Joice,transporte,63,resposta,197,2,35.51533333333333,32.272000000000006,5.546899930546431,6.104362915220624,68.31829168194255,70.03991212888596,270.51933250500946,53.600544782890516,25.473244891638156
14,43_franca_feminicidio_r,Franca,feminicidio,43,resposta,176,5,34.15,30.576,5.153733528550513,5.7561486132914705,67.0118101865628,69.35387260463939,131.74569687873029,28.154711784890413,13.950456602147733
15,50_russomano_auxilio_p,Russomano,auxilio,50,pergunta,147,16,40.294,28.352,3.648185834119224,5.1848194130925505,67.85532526622474,70.1266624906224,134.55164967378232,47.348421734422445,15.91465638132535
16,99_orlando_aliancas_p,Orlando,aliancas,99,pergunta,143,11,32.102,25.85599999999999,4.454551118310386,5.5306311881188135,71.23350020030672,73.78960744898518,202.8645243534827,36.878814950933034,20.751262123896883
17,93_russomano_partidos_p,Russomano,partidos,93,pergunta,93,17,36.88066666666667,17.488000000000003,2.521646391063068,5.317932296431838,70.70997670433145,73.57940776654722,177.66589532030773,81.76639976858853,13.183669906732325
18,61_boulos_moradia_r,Boulos,moradia,61,resposta,161,8,31.419333333333334,27.509666666666664,5.12423348681279,5.8524882162633745,68.08813254677939,70.7270976095231,141.8208556722321,41.189381544281794,15.580060813104554
19,92_russomano_desigualdade_r,Russomano,desigualdade,92,resposta,113,14,31.419333333333334,23.62166666666667,3.596511701924505,4.783743738093557,70.78693354361546,73.23252991225365,210.4440649908634,67.40527403142936,23.36999392900977
20,113_franca_creche_p,Franca,creche,113,pergunta,125,12,32.784666666666666,26.080333333333332,3.8127579966244385,4.792883526539794,70.28825352194848,73.41845318898599,154.26050643132933,44.94214472097327,13.610562653938086
21,6_franca_emprego_r,Franca,emprego,6,resposta,230,10,47.803333333333335,43.10966666666668,4.8113799595565165,5.3352303041081255,65.15827962560128,67.049552771453,136.45819298575984,52.45315083340839,15.317581405653117
