,fala_id,candidato,tema,Num. sílabas,Num. pausas,Duração,Tempo de fala,Ritmo de fala,Ritmo de articulação,intensity mean,intensity quant,pitch mean,pitch var fala,pitch var sil
33,covas_14_transporte.wav,Covas,transporte,148,14,45.19297916666667,37.359999999999985,3.274844958863909,3.9614561027837274,72.29173996551127,75.24543518574184,118.16373977265566,22.93798232488691,11.266217989056443
5,covas_16_consideracoes-finais.wav,Covas,consideracoes finais,202,24,62.728770833333336,49.488000000000014,3.2202129472088994,4.081797607500807,71.08062980831144,73.672234365737,106.15451188836452,16.142687931450315,7.665178731001239
6,covas_10_infraestrutura.wav,Covas,infraestrutura,129,11,38.73458333333333,32.16000000000001,3.3303572389014984,4.011194029850745,72.24029727376318,74.39847818188431,110.37874163921109,18.581675960264576,8.54525231787514
7,covas_0_equipe.wav,Covas,equipe,155,12,46.75,41.11099999999998,3.3155080213903743,3.7702804602174615,70.1461136371886,73.11884182430737,110.9923581943131,16.50628185926733,8.042467860271248
17,covas_8_orcamento.wav,Covas,orcamento,324,36,104.82447916666666,84.72423958333331,3.0908810859422746,3.8241712359226208,72.04892155228067,75.02393632219945,121.24656397406096,24.606254653499683,9.885273948272683
14,covas_6_saude.wav,Covas,saude,109,10,33.0328125,27.252406249999993,3.2997493023035807,3.9996468201775772,72.77503679403792,75.58242176090265,120.8251943452062,20.103758503508985,9.512014543081145
22,franca_2.wav,Franca,sem tema,448,30,100.21704166666666,86.08452083333333,4.470297591602227,5.204187647943869,73.34137895895297,75.6784754418205,131.91866359099782,30.53016867145743,14.095014983491616
60,franca_14.wav,Franca,sem tema,224,25,59.931604166666666,45.88799999999999,3.737593930859379,4.88145048814505,73.24344147548652,75.84234536536435,131.40764777647522,27.477746014773146,13.408192289020198
54,franca_11.wav,Franca,sem tema,720,78,181.9316875,143.36584374999995,3.957529388606369,5.022116713207711,72.67668750037632,75.33456389897404,142.07984505738827,39.72025062725795,14.902100284069995
53,franca_10.wav,Franca,sem tema,195,9,44.45283333333333,39.424,4.386672015657045,4.94622564935065,74.32961419176952,76.7091243049057,128.65301061094976,21.59563437754724,12.432315026362412
11,franca_8.wav,Franca,sem tema,182,16,41.93958333333333,35.55379166666666,4.339575778649844,5.119003950586611,70.76568534825894,73.36660861986653,131.56918464253548,22.609674742696907,13.362906874089797
12,franca_9.wav,Franca,sem tema,92,7,25.949479166666666,20.966739583333336,3.5453505409148387,4.387902069100514,73.5129185582553,76.20550937237422,134.86624229025958,69.33315897200463,15.081381648373576
23,franca_3.wav,Franca,sem tema,344,26,81.02097916666666,68.47697916666665,4.245813905709093,5.023586089607366,72.41739706676253,74.9780014570827,125.73808933131917,41.92171053769198,13.316834527632855
44,franca_13.wav,Franca,sem tema,50,1,12.382708333333333,10.480000000000004,4.037888857109208,4.770992366412212,73.29664559484073,75.09416948815951,135.2711463503668,19.117585497752707,12.950162791360196
40,franca_6.wav,Franca,sem tema,74,6,16.39870833333333,13.91135416666667,4.512550531164803,5.319395877168679,73.52971508921539,76.05292384830305,118.46544709837997,21.79428662102976,9.5386543350131
39,franca_7.wav,Franca,sem tema,209,19,51.591791666666666,42.65599999999999,4.05103201978997,4.899662415603902,73.20721868425696,75.76350264444216,127.20060339044888,26.672186448834427,13.654173859565056
45,franca_12.wav,Franca,sem tema,153,11,38.812583333333336,30.68799999999999,3.9420205216950683,4.985662148070909,72.82434058310321,75.56594622320956,134.65736621665948,27.05692163276834,13.67588888516073
36,franca_5.wav,Franca,sem tema,70,3,16.770833333333332,14.929416666666668,4.173913043478261,4.688729744966592,72.52498758850552,74.97197812426845,116.55910347111488,61.60077501805161,11.648983619134048
35,franca_4.wav,Franca,sem tema,187,14,45.29139583333333,37.66969791666667,4.128819537559332,4.964202272438805,72.22016683957001,75.23210266556778,140.23617057833133,45.149212992188026,18.993398664883674
28,franca_1.wav,Franca,sem tema,173,10,43.375,38.27949999999999,3.988472622478386,4.519390274167637,73.2426602562625,75.45873531969457,120.60075129754796,24.960233519400123,11.992497973166238
29,franca_0.wav,Franca,sem tema,847,57,190.56254166666668,167.12254166666656,4.444735007164096,5.0681373772389104,73.08435435605288,75.62755852114877,131.47103206257083,34.2574352430619,13.662398623900202
37,russomano_10.wav,Russomano,sem tema,42,10,15.080729166666666,8.128000000000004,2.7850112243135903,5.167322834645667,74.2312067096478,76.47738965952811,144.6183928073936,58.091803580113236,12.536840130095523
1,russomano_9.wav,Russomano,sem tema,59,9,17.931770833333335,13.253885416666666,3.290249498968892,4.451524828018199,73.71054578818925,76.08389257098433,135.1120537742791,59.83930631285014,16.47917886876487
2,russomano_8.wav,Russomano,sem tema,50,2,11.458604166666667,10.097302083333332,4.363533225578304,4.951817781358677,73.8829220765189,76.54783898455084,158.3427083447171,26.703946553559064,18.291571142599416
