pip_dk;pip_dscr;nucleo;familia;area_atuacao;ano;mes;vista;novos;denuncias;arquivamentos;baixas;inst_pic;acordo_npp_oferecido;acordo_npp_firmado;med_caut
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;7;822;89;15;71;684;0;0;0;1
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;8;1054;148;11;152;653;0;0;0;2
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;9;1010;113;12;108;748;0;0;0;2
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;10;3579;155;11;216;2610;0;0;0;0
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;11;2153;118;5;228;1649;0;0;0;1
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2017;12;1234;69;4;654;966;0;0;0;2
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;1;1013;114;5;216;694;0;0;0;1
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;2;1121;39;8;472;616;0;0;0;1
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;3;2455;150;14;286;1728;0;0;0;2
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;4;2028;45;7;212;1365;0;0;0;0
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;5;617;70;4;298;413;0;0;0;1
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;6;1884;139;10;59;1535;0;0;0;3
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;7;1377;96;3;110;1086;0;0;0;0
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;8;539;79;12;131;280;0;0;0;2
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;9;2568;120;21;368;1925;0;0;0;0
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;10;971;116;33;301;748;0;0;0;0
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;11;1272;206;8;36;1084;0;0;0;3
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2018;12;667;45;38;29;542;0;0;0;3
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;1;2119;37;10;11;1724;0;0;0;1
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;2;682;138;59;161;442;0;0;0;0
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;3;146;43;50;116;69;0;0;0;2
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;4;1692;73;52;181;1277;0;0;0;3
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;5;1525;42;48;158;1269;0;0;0;3
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;6;1505;180;11;118;1205;0;0;0;0
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;7;915;128;43;182;473;0;0;0;1
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;8;719;77;38;295;171;0;0;0;3
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;9;1642;68;26;552;693;0;0;0;1
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;10;1064;125;33;288;536;0;0;0;7
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;11;1531;39;24;513;754;0;0;0;0
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2019;12;767;16;42;308;287;0;0;0;2
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2020;1;675;44;6;286;332;0;0;0;1
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2020;2;786;52;12;311;353;0;0;0;0
29927047;2ª PIP - Centro/Zona Portuária;Rio de Janeiro;Territorial;Centro/Zona Portuária;2020;3;968;12;10;182;130;0;0;0;0
