"codigo_pip";"nome_pip";"nucleo";"familia";"area_atuacao";"ano";"mes";"ano_mes";"novos";"denuncias";"arquivamentos"
29926583;"1ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;12;"2020-12";131;0;0
29926583;"1ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2021;1;"2021-01";4;0;0
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;3;"2020-03";15;9;0
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;4;"2020-04";7;5;0
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;5;"2020-05";1;1;0
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;6;"2020-06";9;6;0
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;7;"2020-07";91;13;4
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;8;"2020-08";167;21;28
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;9;"2020-09";136;24;7
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;10;"2020-10";152;12;8
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;11;"2020-11";202;22;8
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2020;12;"2020-12";141;6;0
29926616;"2ª PIP - Botafogo/Copacabana";"Rio de Janeiro";"Territorial";"Botafogo/Copacabana";2021;1;"2021-01";5;0;0
29926805;"1ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;3;"2020-03";8;5;0
29926805;"1ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;4;"2020-04";6;1;0
29926805;"1ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;5;"2020-05";11;5;0
29926805;"1ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;6;"2020-06";2;0;0
29926805;"1ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;7;"2020-07";106;10;3
29926805;"1ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;8;"2020-08";163;22;2
29926805;"1ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;9;"2020-09";88;12;2
29926805;"1ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;10;"2020-10";107;4;4
29926805;"1ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;11;"2020-11";108;2;0
29926805;"1ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;12;"2020-12";279;2;0
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;3;"2020-03";12;11;0
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;4;"2020-04";6;6;0
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;5;"2020-05";12;6;0
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;6;"2020-06";2;0;0
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;7;"2020-07";116;28;6
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;8;"2020-08";158;30;15
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;9;"2020-09";101;8;9
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;10;"2020-10";139;16;2
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;11;"2020-11";125;4;2
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;12;"2020-12";143;3;0
29927047;"2ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2021;1;"2021-01";12;0;0
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;3;"2020-03";13;11;0
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;4;"2020-04";6;6;0
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;5;"2020-05";11;5;0
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;6;"2020-06";9;1;0
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;7;"2020-07";104;15;6
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;8;"2020-08";168;23;4
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;9;"2020-09";83;6;5
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;10;"2020-10";155;16;6
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;11;"2020-11";127;2;2
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2020;12;"2020-12";132;1;0
29933374;"3ª PIP - Centro/Zona Portuária";"Rio de Janeiro";"Territorial";"Centro/Zona Portuária";2021;1;"2021-01";11;0;0
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2020;3;"2020-03";6;3;0
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2020;4;"2020-04";10;9;0
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2020;5;"2020-05";7;6;0
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2020;6;"2020-06";5;2;0
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2020;7;"2020-07";55;14;5
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2020;8;"2020-08";131;31;9
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2020;9;"2020-09";73;15;7
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2020;10;"2020-10";120;9;3
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2020;11;"2020-11";54;9;2
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2020;12;"2020-12";45;3;0
29933418;"1ª PIP - Méier/Tijuca";"Rio de Janeiro";"Territorial";"Méier/Tijuca";2021;1;"2021-01";1;0;0
