"nivel";"ano";"codigo_assunto";"nome_assunto";"dispositivo_legal_assunto";"denuncias";"tempo_mediano"
"Estado";2020;8393;"Furto Qualificado (Art. 155, § 4o.)";"Art. 155, § 4º, CP.";15;248
"Estado";2020;9490;"Estelionato Majorado";"Art. 171, §3º, CP.";15;482
"Estado";2020;9554;"Violação sexual mediante fraude";"Art. 215, CP.";15;78
"Estado";2020;9765;"Vender, fornecer, ainda que gratuitamente, ministrar ou entregar a criança ou a adolescente produtos que possam causar dependência";"Art. 243, Lei Federal nº 8069/90 (ECA)";15;48
"Estado";2020;9865;"Lavagem ou Ocultação de Bens, Direitos ou Valores Oriundos de Corrupção";"Art. 1º, Lei Federal nº 9.613/98.";15;193
"Estado";2020;9921;"Concurso de Pessoas *C";"Art. 62, CP";15;63
"Estado";2020;9447;"Perigo para a vida ou saúde de outrem";"Art. 132, CP.";14;42
"Estado";2020;9732;"Tráfego em Velocidade Acima da Permitida ";"Art. 311, Lei Federal nº 9503/97 ";14;83,5
"Estado";2020;9430;"Homicídio Privilegiado";"Art. 121, § 1º, CP.";13;69
"Estado";2020;9548;"Assédio Sexual";"Art. 216-A, CP.";13;229
"Estado";2020;9744;"Venda, Entrega ou Fornecimento, Ainda que Gratuito, de Arma de Fogo, Acessório, Munição OU Explosivo a Criança ou Adolescente ";"Art. 16, inc. V, Lei Federal nº 10.826/03.";13;7
"Estado";2020;9440;"Seguida de Morte ";"Art. 129, § 3º, CP.";12;18
"Estado";2020;9767;"Oferecer, trocar, disponibilizar, transmitir, distribuir, publicar ou divulgar fotografia, vídeo ou registro que contenha cena de sexo explícito ou pornográfica envolvendo criança ou adolescente";"Art. 241-A, Lei Federal nº 8069/90 (ECA).";12;339
"Estado";2020;9768;"Adquirir, possuir ou armazenar fotografia, vídeo ou registro que contenha cena de sexo explícito que contenha cena de sexo explícito ou pornográfica envolvendo criança ou adolescente";"Art. 241-B, Lei Federal nº 8069/90 (ECA).";12;161
"Estado";2020;9838;"Crimes Contra o Ordenamento Urbano e o Patrimônio Cultural";"Art. 62 a 65, da Lei Federal nº 9605/98.";12;216
"Estado";2020;8382;"Violação de domicílio (art. 50)";"Art. 150, CP.";11;60
"Estado";2020;8550;"Uso de documento falso (art. 304)";"Art. 304, CP.";11;52
"Estado";2020;8626;"Condução de veículo automotor sob efeito de álcool ou de outra substância psicoativa que determine dependência";"Art. 306,  Lei Federal nº 9503/97.";11;5
"Estado";2020;9455;" Calúnia";"Art. 138, CP.";11;56
"Estado";2020;9547;"Posse Sexual Mediante Fraude";"Art. 215, CP.";11;105
"Estado";2020;9686;"Fabricação de Objeto Destinado a Produção de Drogas e Condutas Afins";"Art. 34, Lei Federal nº 11.343/06.";11;14
"Estado";2020;8411;"Receptação";"Art. 180, CP.";10;59
"Estado";2020;9551;"Rufianismo";"Art. 230, CP.";10;1748
"Estado";2020;9708;"Agrotóxicos";"Art. 56, Lei Federal nº 9605/98 e Arts. 13 a 18, Lei Federal nº 7802/89.";10;29,5
"Estado";2020;9728;"Violação de Suspensão/Proibição para Dirigir Veículo ";"Art. 307,  Lei Federal nº 9503/97.";10;40
"Estado";2020;9881;"Motim de presos";"Art. 354, CP.";10;0
"Estado";2020;10089;"Lesão leve ";"Art. 209, CPM.";9;35
