UF,Município,IFGF,Autonomia,Gastos com Pessoal,Liquidez ,Investimentos
CE,Milagres,0.4293,0,0.5467,0.7661,0.4044
PA,Cumaru do Norte,0.429,0.8013,0,0,0.9146
SP,São Lourenço da Serra,0.4289,0.4337,0.526,0.412,0.3438
SP,Colômbia,0.4288,1,0.3762,0,0.339
RJ,Bom Jesus do Itabapoana,0.4288,0.502,0.5778,0.4929,0.1424
BA,Itatim,0.4288,0,0.277,0.4381,1
PB,Aguiar,0.4288,0,0.5825,0.6108,0.5218
BA,Santaluz,0.4287,0.2602,0,0.9652,0.4894
RR,Mucajaí,0.4287,0,0,0.7146,1
ES,Divino de São Lourenço,0.4286,0.1866,0.5672,0.7536,0.2069
AM,Benjamin Constant,0.4284,0.0275,0.1844,1,0.5015
AP,Porto Grande,0.4281,0,0,0.7896,0.9228
AM,Apuí,0.428,0.0811,0.5713,0.7857,0.2741
MT,Jangada,0.4278,0,0.7607,0.5053,0.4454
MG,Vespasiano,0.4276,1,0.2376,0,0.4727
RJ,Teresópolis,0.4275,1,0.1082,0.5724,0.0292
CE,Paracuru,0.4274,0.5317,0,0.5967,0.5812
ES,Fundão,0.4273,0.155,0.4089,0.9677,0.1775
MG,Virgínia,0.4273,0.3436,0.4543,0.5799,0.3312
PE,Correntes,0.427,0,0,0.8556,0.8526
PE,Afogados da Ingazeira,0.427,0.345,0.9435,0,0.4193
AL,Jacuípe,0.4268,0,0,0.7074,1
SP,Paulínia,0.4267,1,0.1295,0.5082,0.0693
GO,São Francisco de Goiás,0.4267,0,0.3574,0.4274,0.9219
BA,Nova Redenção,0.4264,0,0.543,0.4483,0.7144
RS,Cachoeirinha,0.4264,1,0,0.5917,0.1138
TO,Piraquê,0.4263,0,0.7038,0.566,0.4354
PB,Remígio,0.426,0,0.4229,1,0.2811
MG,Maria da Fé,0.426,0.4653,0.2331,0.4818,0.5238
MG,São João da Lagoa,0.426,0,0.2602,1,0.4437
RJ,Volta Redonda,0.426,1,0.1534,0.4477,0.1027
BA,Santo Amaro,0.4259,0,0.7148,0.6536,0.3354
MG,Carmo do Rio Claro,0.4258,0.454,0.3342,0.5205,0.3943
SP,Santa Gertrudes,0.4252,1,0.3229,0,0.3778
PR,Campo Magro,0.4252,0.3638,0.4911,0,0.8458
PI,Alvorada do Gurguéia,0.425,0,0.5578,0.4401,0.7022
MG,Ewbank da Câmara,0.425,0,0.8158,0.443,0.4413
MA,Coelho Neto,0.425,0,0.3598,0.8775,0.4626
MG,Silveirânia,0.425,0,0.6403,0.6763,0.3833
MG,Itaúna,0.4249,0.964,0.4731,0,0.2627
RS,Gramado dos Loureiros,0.4247,0,0.5858,0.5801,0.5329
GO,Anicuns,0.4245,0.8358,0,0.4802,0.3819
MG,Matutina,0.4244,0.2479,0.2869,0.813,0.35
RN,Galinhos,0.4244,0,1,0,0.6976
MT,Nossa Senhora do Livramento,0.4244,0.0605,0.4911,1,0.1458
MA,Codó,0.4244,0.0682,0.7747,0.4087,0.4458
PE,Carnaíba,0.424,0,0.3266,0.555,0.8142
RN,Mossoró,0.4239,0.3578,0.4681,0.6517,0.2182
RS,São José do Inhacorá,0.4238,0.4228,0.467,0.5989,0.2067
PI,São João da Fronteira,0.4238,0,0,1,0.6952
MG,Varjão de Minas,0.4236,0.4227,0.3763,0.5187,0.3767
RS,São José do Herval,0.4234,0.3086,0.4976,0.4016,0.486
BA,Juazeiro,0.4234,0.4056,0,1,0.2881
SC,Joinville,0.4233,1,0.5427,0,0.1506
RS,São Leopoldo,0.4232,1,0.4121,0,0.2806
CE,Umirim,0.4232,0,0.5755,0.5573,0.5599
MG,Rubim,0.4231,0.1301,0.3791,0.5891,0.5943
RS,Encruzilhada do Sul,0.423,1,0,0.5907,0.1013
GO,Porangatu,0.4229,0.6063,0.1036,0.4961,0.4854
PI,Tamboril do Piauí,0.4228,0,0.2499,0.7346,0.7068
MG,Itaobim,0.4228,0.3466,0.2142,0.7602,0.37
MG,Capelinha,0.4227,0.4468,0.1745,0.5216,0.5481
RJ,Rio de Janeiro,0.4227,1,0.4559,0,0.2349
MG,Leme do Prado,0.4226,0.0298,0.1184,1,0.5422
RS,Dezesseis de Novembro,0.4221,0,0.9299,0.5782,0.1806
SP,Itaquaquecetuba,0.4221,1,0.3265,0,0.3618
MG,Alpinópolis,0.4219,0.6898,0.4943,0,0.5037
MG,Conceição dos Ouros,0.4218,0.4198,0.2676,0,1
MG,Sardoá,0.4218,0.1147,0.4408,0.9515,0.1804
SP,Bento de Abreu,0.4218,0.4262,0.3368,0.5897,0.3346
MG,Pedra do Indaiá,0.4217,0.2811,0.1488,0.6096,0.6475
PI,Água Branca,0.4216,0.0851,0.5211,0.4737,0.6067
SP,Iguape,0.4215,0,1,0.4067,0.2795
SP,Piracaia,0.4215,1,0.4667,0,0.2194
MG,Campestre,0.4215,0.5303,0.2714,0,0.8844
PE,Araripina,0.4214,0.3697,0.4105,0.4204,0.4851
PR,Reserva do Iguaçu,0.4214,0.5814,0.3017,0.5838,0.2186
AL,Jundiá,0.4214,0,0.2632,1,0.4223
BA,Serra do Ramalho,0.4214,0.1667,0,1,0.5187
RN,Major Sales,0.4213,0,0.0819,0.6607,0.9427
PI,Santo Antônio dos Milagres,0.4212,0,1,0,0.6848
PB,Salgadinho,0.4211,0,0.5479,0.7632,0.3734
TO,Babaçulândia,0.4211,0,0.5789,0.5221,0.5833
BA,Riacho de Santana,0.4209,0.1965,0.2559,0.7631,0.4681
CE,Ubajara,0.4208,0.3279,0.1354,0.9397,0.2804
MA,Araguanã,0.4207,0,0.5242,0.503,0.6559
MG,Miradouro,0.4207,0,0.3295,0.5273,0.826
RS,São José do Norte,0.4206,0.4044,0.3671,0.7266,0.1844
MG,Japonvar,0.4204,0,0.4321,1,0.2495
CE,Cascavel,0.4203,0.2085,0.4996,0.7843,0.1888
PI,Eliseu Martins,0.4203,0,0.9014,0.5176,0.262
MG,Divisa Nova,0.4202,0.1221,0.3816,0.7388,0.4382
PR,Corumbataí do Sul,0.42,0.1667,0.3837,0.5247,0.6051
GO,Uirapuru,0.4199,0,0.0985,0.7782,0.8031
MT,Indiavaí,0.419,0,0.5627,1,0.1135
MG,Seritinga,0.4186,0,0.0672,0.7949,0.8123
SP,Embu das Artes,0.4186,1,0.5748,0,0.0994
TO,Brasilândia do Tocantins,0.4183,0,0.2985,0.7534,0.6212
CE,Jaguaribe,0.4182,0.2636,0.238,0.5959,0.5752
PA,Capanema,0.4181,0.2577,0.3227,0.497,0.5949
SC,Rio Negrinho,0.4177,0.6381,0.457,0.4497,0.1258
PE,Sirinhaém,0.4173,0.2973,0.1938,0.766,0.4118
SP,Ribeira,0.4173,0.0057,0.5914,0.6394,0.4326
SP,Parisi,0.4172,0.0456,0.3006,0.4798,0.8427
SE,Nossa Senhora das Dores,0.4168,0.3423,0.2503,0.7654,0.3094
PB,Pirpirituba,0.4166,0,0.2386,1,0.4279
AC,Mâncio Lima,0.4165,0.1154,0,0.6165,0.9343
MG,Nova União,0.4165,0.2414,0.3366,0.6126,0.4755
MG,Chácara,0.4164,0.0359,0.6408,0.5094,0.4796
SP,Taquarivaí,0.4156,0.6408,0.404,0.4318,0.1859
RJ,Cordeiro,0.4156,0.7097,0.3143,0.4881,0.1503
MG,Mantena,0.4156,0.1842,0.1397,1,0.3385
PE,Santa Cruz da Baixa Verde,0.4155,0,0.2923,0.8037,0.5658
PA,Rurópolis,0.4152,0,0,1,0.6608
TO,Brejinho de Nazaré,0.4152,0,0.7589,0.4856,0.4161
MG,Minduri,0.415,0.4403,0.8552,0,0.3646
MG,Arcos,0.415,1,0.0338,0.538,0.088
PR,Ângulo,0.4149,0.0802,0.1278,0.4517,1
AM,Manicoré,0.4149,0.0596,0.4382,0.4991,0.6628
PB,São Domingos,0.4148,0,0.6186,0.6709,0.3698
RS,Tramandaí,0.4148,0,0.3574,0.9996,0.3021
PI,São Félix do Piauí,0.4147,0,0.5938,0.4697,0.5955
AP,Amapá,0.4147,0,0,1,0.6588
CE,Pacajus,0.4145,0.1961,0.0908,1,0.3711
BA,Itapetinga,0.4145,0.4547,1,0,0.2032
MG,Grão Mogol,0.4141,0.5226,0.2514,0.5039,0.3785
MG,Itinga,0.4141,0.203,0.5671,0.6155,0.2707
RN,Januário Cicco,0.4141,0,0.3157,1,0.3405
PI,Caraúbas do Piauí,0.414,0,0.5928,0.7294,0.3338
RS,Passo do Sobrado,0.414,0.4253,0.2568,0.6079,0.366
MA,Cajapió,0.4139,0,0.5309,0.619,0.5058
BA,Monte Santo,0.4134,0.0612,0.3432,0.5976,0.6516
MG,São Francisco de Sales,0.4134,0.4927,0.6733,0,0.4876
ES,Pinheiros,0.4134,0.4101,0.0993,0.7344,0.4099
RS,Herveiras,0.4134,0,0.3332,0.6318,0.6887
CE,Guaramiranga,0.4134,0.3909,0,1,0.2627
SP,Agudos,0.4133,1,0.4186,0,0.2347
AL,São José da Laje,0.4133,0.0028,0.9141,0.498,0.2384
GO,Guaraíta,0.413,0,0.3129,0.5688,0.7703
MG,Caldas,0.4129,0.5341,0.8303,0,0.2873
MG,João Pinheiro,0.4128,1,0.2874,0,0.3639
CE,Missão Velha,0.4127,0,0.3876,0.6179,0.6454
MG,Visconde do Rio Branco,0.4126,0.5534,0.2572,0.5225,0.3173
MG,São Félix de Minas,0.4125,0.0837,0.1836,0.5088,0.8741
RS,Tio Hugo,0.4124,0,0.6501,0.6144,0.3851
MG,Santana do Manhuaçu,0.4123,0.2209,0.3683,0.5734,0.4867
SP,Presidente Alves,0.4123,0.359,0.5113,0.461,0.3178
PR,Itaguajé,0.4122,0.0664,0.3468,0.579,0.6567
TO,Centenário,0.4121,0,0.672,0.5683,0.4082
SP,Óleo,0.412,0.6521,0.0431,0.6137,0.339
SP,Dirce Reis,0.4119,0.2081,0.1954,0.6563,0.5877
SP,Duartina,0.4118,0.7312,0.5726,0,0.3436
BA,Sebastião Laranjeiras,0.4118,0.0062,0.641,0,1
RS,Novo Cabrais,0.4117,0.2988,0.3158,0.6165,0.4155
SP,Itaoca,0.4116,0.3651,0,0.4165,0.8647
CE,Ocara,0.4112,0,0.2817,1,0.3632
MG,Caeté,0.4112,1,0.4128,0,0.2321
MG,Piedade dos Gerais,0.411,0.0536,0.3115,0.6714,0.6075
TO,Jaú do Tocantins,0.4109,0,0.4242,0.476,0.7433
PR,São Pedro do Paraná,0.4108,0.472,0.3841,0.4515,0.3357
PB,Soledade,0.4108,0,0.021,1,0.6222
MG,Santa Rita de Caldas,0.4106,0.6641,0.3303,0,0.6482
AL,Coqueiro Seco,0.4104,0,0.1557,0.486,1
MG,Conceição do Rio Verde,0.4101,0.3359,0.433,0.5423,0.3293
MG,Senhora dos Remédios,0.4101,0.2271,0.1772,0.4115,0.8246
MG,Jenipapo de Minas,0.41,0.2862,0.5942,0.5012,0.2585
CE,Ipaporanga,0.41,0.1817,1,0,0.4583
SP,Sagres,0.4098,0.3152,0.5603,0,0.7636
RS,General Câmara,0.4096,0,0.5384,0.7194,0.3807
SP,Uru,0.4096,0.385,0.2545,0.4423,0.5567
PR,Doutor Camargo,0.4096,0,0.0819,0.6498,0.9068
TO,Bandeirantes do Tocantins,0.4095,0.2102,0.4078,0.5958,0.4243
AC,Assis Brasil,0.4094,0.2085,0.5047,0.4473,0.477
MG,Presidente Olegário,0.4092,0.7135,0.1533,0.5237,0.2462
MG,Reduto,0.4092,0.2873,0.4274,0.4295,0.4925
PE,Tamandaré,0.4087,0.5212,0.3302,0.4217,0.362
SP,Diadema,0.4087,1,0.3604,0,0.2745
SP,Cafelândia,0.4086,1,0.4326,0,0.2019
RO,Machadinho D'Oeste,0.4086,0.2186,0.3684,0.6489,0.3985
MG,Pedro Leopoldo,0.4084,0.9498,0.0005,0.557,0.1264
MG,São Sebastião da Vargem Alegre,0.4084,0.0994,0.4198,0.5431,0.5712
BA,Nova Itarana,0.4082,0,0.6328,0,1
MG,Guarani,0.4082,0.693,0.609,0,0.3308
MG,Perdigão,0.408,0.2513,0.4212,0.5013,0.4583
MA,Bom Jardim,0.408,0,0.3429,1,0.289
MG,Jacutinga,0.4079,1,0.3229,0,0.3087
AM,Novo Aripuanã,0.4078,0.2055,0.2848,0.6441,0.497
PB,Aparecida,0.4078,0,0.5191,0.5247,0.5874
PR,Porecatu,0.4074,0.3957,0.1383,0.4833,0.6123
CE,Iguatu,0.4073,0.5242,0.2418,0.4899,0.3735
RS,Cruz Alta,0.4073,0.8738,0.497,0,0.2583
BA,Canarana,0.4072,0,1,0,0.6287
AM,Itapiranga,0.4071,0.4043,0.0124,0.5198,0.692
MS,Batayporã,0.4071,0.4785,0.4197,0.5652,0.165
RS,Sant'Ana do Livramento,0.4069,0.4742,0.4293,0.6459,0.078
RO,Alta Floresta D'Oeste,0.4068,0.1953,0.4382,0.6213,0.3725
MG,Vargem Bonita,0.4068,0.1223,0.2869,0.6803,0.5376
MG,São Sebastião do Paraíso,0.4066,0.9344,0.5728,0,0.1192
GO,Padre Bernardo,0.4063,0.1897,0.2108,0.9553,0.2694
GO,Ipiranga de Goiás,0.4063,0,0.5566,0.4956,0.5729
RS,Morro Redondo,0.4063,0.1797,0.311,0.7711,0.3632
TO,Almas,0.406,0.037,0.5178,0.5444,0.5246
TO,Dianópolis,0.4058,0.5187,0,1,0.1046
GO,Jaraguá,0.4058,0.5027,0.0808,0.5556,0.4842
PA,Santana do Araguaia,0.4057,0.2203,0.6409,0.6361,0.1254
PI,Brasileira,0.4057,0,0.3128,0.9794,0.3304
PE,Angelim,0.4055,0,0.3557,0.6319,0.6346
PI,Palmeirais,0.4055,0,0.7212,0.5948,0.3061
TO,São Valério,0.4052,0,0.3732,0.6809,0.5668
PE,Camaragibe,0.4052,0.0853,0,1,0.5354
MG,Porteirinha,0.4051,0.22,1,0,0.4005
SP,Apiaí,0.4051,0.5328,0.7119,0,0.3756
MG,Cabeceira Grande,0.405,0.9051,0.13,0.4839,0.1009
RO,Mirante da Serra,0.405,0.0823,0.5694,0.721,0.2471
PA,Redenção,0.4048,0.5323,0.0522,0.5784,0.4563
PR,Santo Antônio do Caiuá,0.4048,0,0.1327,0.6864,0.8001
RS,Inhacorá,0.4047,0,0.2687,0.4312,0.9188
MG,São José do Alegre,0.4047,0,0.504,0.5076,0.6071
PR,Jaboti,0.4047,0.0842,0.4179,0.6047,0.5119
PR,Boa Esperança do Iguaçu,0.4042,0.2824,0.4556,0,0.8789
MG,Jaguaraçu,0.4042,0,0.5089,0.8168,0.2911
MG,Alfenas,0.4042,0.4785,1,0,0.1381
PE,Tupanatinga,0.4041,0.0493,0.1214,1,0.4455
SP,Turmalina,0.4039,0.3396,0,0.7923,0.4838
SP,Gabriel Monteiro,0.4039,0.2306,0.4264,0,0.9587
PR,Ibaiti,0.4038,0.8409,0.2465,0,0.5277
PA,Bonito,0.4036,0,0.8009,0.5528,0.2606
PI,Batalha,0.4036,0,0.2596,0.7852,0.5695
TO,Tupiratins,0.4036,0,0.4484,0.7308,0.4351
PI,São José do Divino,0.4035,0,0.4498,0.6701,0.4942
MA,Sítio Novo,0.4035,0,0.2642,0.7867,0.5629
MA,Açailândia,0.4031,0.4157,0,1,0.1965
MG,Santa Bárbara do Leste,0.4028,0,0,0.6112,1
PR,Mirador,0.4026,0.2956,0.2088,0.5324,0.5736
MG,Itueta,0.4026,0,0.1721,0.5432,0.8952
RS,Tiradentes do Sul,0.4024,0.381,0.3428,0.6443,0.2416
PB,Alagoinha,0.4023,0.0034,0.0786,1,0.5274
RS,Miraguaí,0.4023,0.3777,0.3622,0.5737,0.2955
PR,Porto Barreiro,0.4022,0.2002,0.9208,0,0.4877
PI,Santa Luz,0.4021,0,0.8055,0.4213,0.3816
PR,Itaúna do Sul,0.4018,0.1181,0.4891,0,1
PA,Benevides,0.4018,0.4706,0.3272,0,0.8092
MG,Baependi,0.4017,0.2498,0.2588,1,0.0983
CE,Amontada,0.4017,0,0.2891,1,0.3176
PB,Queimadas,0.4016,0.3534,0,0.7502,0.5026
PA,São Miguel do Guamá,0.4015,0.0037,0,0.6022,1
MS,Ribas do Rio Pardo,0.4013,1,0.4723,0,0.1329
AL,Estrela de Alagoas,0.4012,0,0.1559,0.449,1
MG,Vargem Alegre,0.4012,0,0.2951,0.6423,0.6673
RJ,Japeri,0.4011,0.3766,0.4767,0.5003,0.251
TO,Divinópolis do Tocantins,0.4011,0.2198,0.2452,0.6276,0.5119
PB,Jericó,0.4011,0,0,0.7063,0.898
RS,Tavares,0.401,0.2182,0.1874,0.6564,0.5418
PI,Gilbués,0.401,0.0015,0.6299,0.465,0.5076
MG,Canápolis,0.401,0.2212,0.4876,0.4903,0.4047
BA,Cabaceiras do Paraguaçu,0.4009,0,0.1665,1,0.4369
PE,Altinho,0.4006,0.1693,0.9205,0,0.5128
SP,Lourdes,0.4005,0,0.3119,0.7024,0.5877
GO,Amorinópolis,0.4002,0,0.2846,0.5301,0.7862
BA,Itaguaçu da Bahia,0.4001,0.0954,0.5051,0,1
MA,Formosa da Serra Negra,0.4001,0,0.4141,0.85,0.3362
RS,Santa Tereza,0.3996,0,1,0.521,0.0773
BA,Canápolis,0.3993,0,0.2404,0.5205,0.8362
PA,Breu Branco,0.399,0.2514,0.2789,0.4088,0.657
PA,Bragança,0.399,0.1524,0,0.4815,0.962
BA,Botuporã,0.399,0,0.5959,0,1
BA,Tabocas do Brejo Velho,0.3989,0.3145,0.1309,0.5594,0.5911
SP,Herculândia,0.3989,1,0.3011,0,0.2944
PB,Pombal,0.3988,0.1594,0.3564,0.6203,0.459
MG,Soledade de Minas,0.3986,0.4186,0.2452,0.5594,0.3712
PI,São Miguel do Tapuio,0.3986,0,0.1451,0.742,0.7071
MG,Cambuquira,0.3985,0.1449,0.5819,0.5441,0.3233
MG,Mutum,0.3985,0.2773,0.4184,0,0.8984
MG,São Gonçalo do Abaeté,0.3985,0.745,0.0231,0.4961,0.3297
RN,Cruzeta,0.3985,0,0,1,0.594
RS,São Valério do Sul,0.3984,0,0.663,0.616,0.3145
GO,Damianópolis,0.398,0,0.5229,0.5993,0.47
TO,Aliança do Tocantins,0.3979,0,0.2709,0.7054,0.6152
AP,Mazagão,0.3977,0,0,0.5953,0.9957
MG,Santa Bárbara do Monte Verde,0.3977,0.1034,0.6539,0.5477,0.2859
MG,Piedade do Rio Grande,0.3977,0.0802,0.1781,0.5885,0.7441
MG,Natalândia,0.3977,0,0.5354,0.751,0.3044
MS,Coronel Sapucaia,0.3977,0,0.4691,0.8035,0.3182
MG,Paraisópolis,0.3975,0.7625,0.3357,0.4835,0.0083
MA,Parnarama,0.3969,0,0.3054,1,0.2821
GO,Arenópolis,0.3968,0.225,0.4722,0.4226,0.4674
SP,Itupeva,0.3967,1,0.4295,0,0.1575
RS,Braga,0.3964,0,0.3935,0.5967,0.5956
RS,São Gabriel,0.396,0.5145,0.8472,0,0.2225
GO,Goianápolis,0.3956,0.4529,0.0606,0.5418,0.5273
AM,Tonantins,0.3953,0.1291,0.1236,0.5188,0.8097
MG,Madre de Deus de Minas,0.3953,0.3679,0.1809,0.6537,0.3788
PB,Boqueirão,0.3952,0.0492,0.133,0.8184,0.5801
PI,Capitão Gervásio Oliveira,0.3952,0,1,0,0.5807
MG,Alto Caparaó,0.3952,0.0381,0.2049,1,0.3378
PE,Santa Cruz,0.3951,0,0.3826,1,0.198
BA,Nordestina,0.3951,0,0.2372,0.5909,0.7524
SP,Turiúba,0.395,0.1423,0.4422,0,0.9956
TO,Aragominas,0.395,0,0.3445,0.4177,0.8178
AM,Envira,0.395,0,0.2135,0.9544,0.4121
RO,Theobroma,0.395,0,0.451,0.4235,0.7053
CE,Itapajé,0.3948,0.2861,0,1,0.2932
MG,Felício dos Santos,0.3948,0.1172,0.3718,0.4403,0.6498
RS,São Jerônimo,0.3947,0.1469,0.6423,0.5144,0.2751
RN,Governador Dix-Sept Rosado,0.3946,0.1093,0.7536,0.4602,0.2552
MA,Santo Amaro do Maranhão,0.3943,0,0.3546,0.896,0.3266
MG,Pingo d'Água,0.3942,0,0.4708,0.527,0.5791
MG,Conceição da Barra de Minas,0.394,0,0.4616,0.8586,0.2558
MG,Martins Soares,0.3939,0.0236,0.4717,0.6567,0.4234
TO,São Salvador do Tocantins,0.3938,0,0.4401,0.5223,0.6126
PE,Gravatá,0.3937,0.6658,0.2214,0.4722,0.2155
SP,Panorama,0.3936,0.7033,0.4073,0,0.4636
MG,Dores do Indaiá,0.3934,0.4619,0.403,0.5353,0.1734
BA,Maetinga,0.3933,0,0.0351,1,0.538
PB,Imaculada,0.3933,0,0.475,0.5499,0.5482
RS,Dois Irmãos das Missões,0.3932,0.3338,0.2492,0.5634,0.4265
PI,Monte Alegre do Piauí,0.393,0,0.438,0.5992,0.5347
CE,Marco,0.3927,0,0.263,0.6143,0.6935
AC,Bujari,0.3926,0.0359,0,0.8462,0.6882
PA,Santa Maria das Barreiras,0.3925,0,0.5698,0,1
MG,Novo Cruzeiro,0.3924,0.2289,0.465,0,0.8757
PI,Amarante,0.3924,0,0.9376,0,0.6318
PI,Colônia do Piauí,0.3923,0,0.5096,0.704,0.3556
GO,Colinas do Sul,0.3922,0,0.434,0.6152,0.5197
MG,Fronteira dos Vales,0.3922,0,0.5356,0.4696,0.5635
PB,Passagem,0.392,0,0.5741,0.5744,0.4196
PI,Barro Duro,0.3919,0,0.3191,1,0.2486
GO,Rubiataba,0.3919,0.3618,0,0.6717,0.5342
CE,Jijoca de Jericoacoara,0.3918,0,0.7838,0,0.7835
MT,Dom Aquino,0.3917,0.0681,0.9192,0.5097,0.0696
RN,Messias Targino,0.3916,0,1,0,0.5666
MG,Serrania,0.3915,0.2345,0.3273,0.648,0.3564
MA,Fortaleza dos Nogueiras,0.3915,0,0.2926,0.5212,0.7523
GO,Ipameri,0.3915,0.497,0.2939,0.4859,0.2892
PB,Serra da Raiz,0.3913,0,0,0.7081,0.8571
GO,Cidade Ocidental,0.3913,0.21,0.4028,0.4059,0.5463
PE,Cachoeirinha,0.3909,0,0.4396,0.4187,0.7052
PB,Junco do Seridó,0.3908,0,0,0.5666,0.9964
SP,Luís Antônio,0.3906,1,0.3682,0,0.1944
SP,Cruzália,0.3902,0.586,0.3593,0.4729,0.1428
MG,Paraopeba,0.3896,0.7037,0,0.6018,0.2531
PR,Tijucas do Sul,0.3895,0.6653,0,0.5879,0.305
MG,Ponto dos Volantes,0.3894,0.121,0.246,0.5468,0.6438
PI,Morro do Chapéu do Piauí,0.3892,0,0.7659,0.5447,0.2463
BA,Queimadas,0.3891,0,0.5198,0.9222,0.1145
CE,Paraipaba,0.389,0.083,0.031,1,0.442
PB,Boa Ventura,0.3889,0,0.739,0,0.8167
SP,Campos Novos Paulista,0.3888,0.7592,0.4713,0,0.3246
BA,Maracás,0.3888,0.3368,0.372,0.4777,0.3687
RJ,Porciúncula,0.3886,0.4541,0.4485,0.4834,0.1685
MA,Anapurus,0.3886,0,0.7005,0,0.8537
SP,Boituva,0.3883,1,0.4202,0,0.1329
RN,Nísia Floresta,0.3882,0.1583,0.3491,0.7479,0.2975
BA,Amélia Rodrigues,0.3882,0,0.1951,0.4529,0.9047
MG,Funilândia,0.3882,0.2709,0.1066,0.5445,0.6307
MG,Buritis,0.3879,0.9225,0.2265,0,0.4025
SC,Rio Rufino,0.3878,0.315,0.3876,0.5847,0.264
MT,Porto Estrela,0.3876,0.0022,0.5144,0.7867,0.2471
MG,Rio Vermelho,0.3873,0.1115,0.6453,0.4881,0.3045
GO,Cocalzinho de Goiás,0.3873,0.2625,0,0.5341,0.7525
GO,Brazabrantes,0.3872,0.0762,0.6078,0.4383,0.4265
AL,Ibateguara,0.3867,0,0.2232,0.8845,0.4391
RR,Alto Alegre,0.3866,0.1396,0,0.7033,0.7035
PE,Feira Nova,0.3865,0,0.3053,0.7076,0.5331
MG,Pocrane,0.3864,0.1482,0.3218,0.4466,0.629
GO,Piranhas,0.3864,0.6944,0,0.4004,0.4506
SP,Ibiúna,0.3863,1,0.4431,0,0.1022
MG,Dom Silvério,0.3862,0.1215,0.4501,0.5337,0.4397
PB,Parari,0.386,0,0.464,0.514,0.5661
MG,Morro da Garça,0.3858,0,0.2192,0.6178,0.7062
RS,Gramado Xavier,0.3857,0.0059,0.4055,0.7428,0.3888
MS,Itaporã,0.3857,0,0.2319,1,0.311
TO,Fátima,0.3857,0,0.2083,0.7563,0.5781
SE,Ilha das Flores,0.3856,0,0.1727,0.7397,0.63
BA,Malhada de Pedras,0.3854,0,0.1827,0.6276,0.7312
MG,Capetinga,0.3847,0.5295,0.0126,0.4816,0.5153
PI,Matias Olímpio,0.3844,0,0.6926,0.4074,0.4377
AM,Guajará,0.3844,0.1011,0.476,0.7659,0.1944
BA,Serrolândia,0.3844,0,0.2337,0.564,0.7397
PR,Santana do Itararé,0.3843,0.1426,0,0.4272,0.9673
AL,Jaramataia,0.3838,0,0.2048,1,0.3305
MA,São João do Carú,0.3838,0,1,0.5352,0
CE,Catarina,0.3838,0.121,0.2359,0.5462,0.632
MG,Araújos,0.3837,0.1421,0.1511,0.5319,0.7096
SP,Pacaembu,0.3837,0.6462,0.6171,0,0.2714
MG,Paula Cândido,0.3837,0.2834,0.6073,0,0.6441
RS,Jaguari,0.3836,0.4427,0.684,0,0.4076
BA,Jandaíra,0.3834,0.0261,0.3994,0.4476,0.6607
BA,Pindaí,0.3834,0,0.3085,0.4766,0.7485
PI,José de Freitas,0.3832,0,0,1,0.5327
MG,Piracema,0.383,0.2873,0.3502,0.4982,0.3964
PB,Nova Olinda,0.3829,0,0.8426,0,0.6892
MG,Bocaina de Minas,0.3829,0,0.3195,0.475,0.7371
BA,Ruy Barbosa,0.3829,0.1301,0.201,0.461,0.7395
CE,Arneiroz,0.3828,0.0507,0.7836,0,0.6971
MA,Cajari,0.3827,0,0.5372,0.697,0.2967
RJ,Itaperuna,0.3826,0.4818,0.3182,0.6995,0.0309
RS,Taquara,0.3826,0.4844,0.663,0,0.383
RS,Progresso,0.3825,0.6358,0.5749,0,0.3194
AM,Iranduba,0.3824,0.1837,0,1,0.346
GO,Serranópolis,0.3824,1,0.3054,0,0.2242
RJ,Itaboraí,0.3823,0.3065,0.4702,0.6619,0.0907
MA,Bacabeira,0.3821,0.7706,0.1633,0.5127,0.0817
SC,Dona Emma,0.3821,0.3571,0.3126,0.5485,0.3101
SP,Cabrália Paulista,0.382,0.3142,0.1249,0.4764,0.6126
BA,Belmonte,0.382,0.448,0.1955,0.6304,0.254
TO,Cachoeirinha,0.3817,0,0.2111,0.6539,0.6619
CE,Frecheirinha,0.3816,0.3207,0.273,0.5683,0.3644
MG,Formiga,0.3816,0.9061,0.3231,0,0.2971
AP,Tartarugalzinho,0.3816,0,0,1,0.5263
MG,Igaratinga,0.3816,0.6186,0.0715,0.6554,0.1807
RN,São José de Mipibu,0.3812,0.2714,0.2928,0.4756,0.4849
RN,Martins,0.3811,0,0,0.5743,0.9503
SP,Populina,0.3811,0.7546,0.176,0.4147,0.1792
GO,Americano do Brasil,0.3811,0,0.2645,0.617,0.643
MG,Dom Bosco,0.381,0,0.46,0.764,0.3001
TO,Taguatinga,0.3808,0.3337,0,1,0.1897
MG,Cachoeira da Prata,0.3808,0.0539,0.3504,0.8268,0.2921
RN,Vera Cruz,0.3808,0,0,0.9185,0.6046
MG,São Gotardo,0.3807,0.745,0.1268,0,0.6511
BA,Iuiu,0.3807,0,0,1,0.5227
PI,Santana do Piauí,0.3807,0,0.6516,0.5483,0.3227
SP,Tapiratiba,0.3806,0.6951,0.0301,0.463,0.3341
PR,Fênix,0.3805,0.2087,0.3134,0,1
SP,Irapuã,0.3805,0.8566,0.2968,0,0.3685
PI,Cristino Castro,0.3804,0,0.5607,0.558,0.403
