UF,Município,IFGF,Autonomia,Gastos com Pessoal,Liquidez ,Investimentos
SC,Morro Grande,0.8078,1,0.7441,0.4869,1
PR,Francisco Beltrão,0.8076,1,0.8075,1,0.4231
PR,Cambará,0.8068,1,0.4522,1,0.7751
RJ,Niterói,0.8066,0.9035,1,0.9048,0.4182
SP,Rifaina,0.8064,1,1,0.4497,0.7758
MG,Conceição das Alagoas,0.8053,1,0.7914,0.9826,0.4472
PR,Santa Izabel do Oeste,0.8047,0.9119,0.5897,0.7174,1
RS,Sarandi,0.8043,1,0.6078,0.9184,0.6909
MG,Monte Belo,0.8037,0.8635,0.7078,1,0.6435
SC,Balneário Camboriú,0.8029,1,0.6723,1,0.5393
RS,Estrela,0.8028,1,1,1,0.2113
SP,Junqueirópolis,0.8026,1,0.8242,0.5557,0.8307
AM,Manaus,0.8022,1,0.9166,0.6281,0.6642
RS,Rolante,0.8022,0.8638,0.7937,0.5514,1
SC,Quilombo,0.802,1,0.883,0.5913,0.7338
RS,Boa Vista do Cadeado,0.8009,1,0.7674,1,0.436
PA,Marabá,0.8003,1,0.6367,1,0.5645
MG,Itatiaiuçu,0.8,1,1,1,0.2
PR,Mariópolis,0.8,0.8998,0.6364,0.6637,1
SC,Curitibanos,0.7998,1,0.486,1,0.7133
PR,Irati,0.7995,0.9412,0.6109,1,0.6458
RS,Sananduva,0.7979,1,0.9071,0.6805,0.604
SC,Campo Alegre,0.7978,0.9242,0.787,1,0.4798
PR,Pranchita,0.7977,0.6511,0.9146,0.6251,1
SP,Praia Grande,0.7972,1,0.9307,0.7852,0.4729
GO,Goianira,0.797,0.8302,0.4599,1,0.8978
RS,Arroio do Meio,0.7969,1,1,1,0.1874
PE,Goiana,0.7966,1,0.8557,1,0.3305
SP,Altinópolis,0.7964,1,1,0.5169,0.6687
SP,Dois Córregos,0.7956,1,1,0.8243,0.3579
PR,Roncador,0.7955,1,0.5229,0.7281,0.931
RS,Erechim,0.795,1,0.7713,0.6535,0.7552
PR,Santa Terezinha de Itaipu,0.7948,0.6642,1,1,0.5149
SP,Louveira,0.7941,1,1,0.9009,0.2756
BA,Paulo Afonso,0.794,1,0.7175,0.6397,0.8188
MG,Perdizes,0.7939,1,0.9406,0.9732,0.2619
MT,Campo Novo do Parecis,0.7929,1,0.4702,1,0.7013
MT,Tangará da Serra,0.7926,1,0.6299,0.9162,0.6242
SC,Formosa do Sul,0.7923,0.596,0.9109,0.9984,0.6637
PA,Curionópolis,0.7916,0.6153,0.8711,0.68,1
SC,São Bernardino,0.7915,0.5357,0.796,0.8342,1
SP,Pariquera-Açu,0.7911,0.7403,0.6338,0.9022,0.8879
PR,Imbituva,0.7903,1,0.4093,1,0.7518
PR,Nova Aurora,0.7894,1,0.529,0.6287,1
RS,Barão de Cotegipe,0.7892,1,1,0.7234,0.4334
CE,Fortaleza,0.7889,1,0.8523,0.8716,0.4319
RS,Santa Margarida do Sul,0.7886,0.5481,1,0.859,0.7471
RS,Caxias do Sul,0.7882,1,0.9177,1,0.2352
PR,Ivaí,0.7877,0.7227,0.8834,0.5447,1
SC,São Lourenço do Oeste,0.7877,1,0.7588,0.6706,0.7214
PR,Campina do Simão,0.7874,0.6899,1,0.4599,1
ES,Guarapari,0.7872,0.7818,0.7929,0.8713,0.7026
SC,Cordilheira Alta,0.7871,1,0.9651,0.7403,0.4429
MT,Rondonópolis,0.787,1,0.9079,0.6076,0.6324
SC,Modelo,0.7867,0.7496,0.8014,0.5959,1
MS,Ivinhema,0.7865,1,0.5511,1,0.5949
RS,Nova Araçá,0.7857,0.7992,1,1,0.3435
PR,Quatro Pontes,0.7854,1,0.8907,0.8618,0.3892
PR,Marilena,0.7853,0.3819,0.8682,1,0.891
GO,Itarumã,0.7851,0.8624,0.5784,1,0.6996
RN,São Gonçalo do Amarante,0.7847,0.3902,1,1,0.7485
GO,Edéia,0.7845,1,0.2956,1,0.8422
SP,Teodoro Sampaio,0.7836,1,1,0.4729,0.6615
SC,Rio do Sul,0.7834,0.9277,1,1,0.2057
RS,Santa Clara do Sul,0.7832,0.7523,1,0.7483,0.6323
ES,Vitória,0.7825,1,1,0.7889,0.3411
PR,Nova Santa Rosa,0.7822,1,0.7412,0.58,0.8076
RO,Teixeirópolis,0.7819,0.4409,0.6868,1,1
RS,São Miguel das Missões,0.7815,1,0.8941,0.6725,0.5594
BA,Alagoinhas,0.7813,1,0.6846,0.7212,0.7196
PR,Verê,0.781,1,0.5665,0.5576,1
SC,Lajeado Grande,0.7808,0.7086,0.7958,0.6186,1
PR,Coronel Vivida,0.7807,1,0.5733,0.5494,1
MG,Botelhos,0.7804,0.7164,0.9111,0.9001,0.5941
RS,Sapucaia do Sul,0.7797,1,1,1,0.1187
SP,Cristais Paulista,0.7789,1,0.6959,0.5045,0.9153
SC,Águas Frias,0.7788,0.777,0.7537,0.5844,1
MG,Santa Bárbara,0.7777,1,0.4879,0.623,1
BA,Coribe,0.7774,0.3668,1,0.8255,0.9174
SP,Ariranha,0.7772,1,0.8721,0.4392,0.7974
ES,Aracruz,0.7772,1,0.9688,0.9095,0.2304
MG,Heliodora,0.7757,0.3365,0.9923,1,0.7741
RS,São José do Sul,0.7756,0.1724,1,1,0.9301
MT,Pontes e Lacerda,0.7756,1,0.776,0.6643,0.6622
SC,Ipumirim,0.7748,1,0.6151,0.7287,0.7553
ES,Santa Maria de Jetibá,0.7745,1,0.7819,0.8262,0.49
ES,Viana,0.7742,0.8243,0.4722,0.8002,1
PR,Santa Mariana,0.7741,0.8026,0.718,0.5759,1
RO,Cabixi,0.7738,0.5162,0.9588,1,0.6203
MS,Taquarussu,0.773,1,0.7309,0.6981,0.6629
BA,Barreiras,0.7729,0.8658,0.2258,1,1
PA,Ourilândia do Norte,0.7727,0.7456,0.7159,0.6294,1
SC,São João do Sul,0.7724,0.6493,0.6663,0.7742,1
SP,Bilac,0.7724,1,0.5876,0.502,1
PA,Ananindeua,0.7723,0.6729,0.6356,1,0.7807
SC,Guatambú,0.7722,1,0.6691,1,0.4195
ES,Cariacica,0.7717,1,0.631,0.8218,0.634
SC,Jaborá,0.7717,1,0.5655,0.7743,0.7468
SC,Indaial,0.7716,1,0.8181,0.5529,0.7153
RS,São Vendelino,0.7715,0.5906,1,0.4956,1
SP,Águas de Lindóia,0.7713,1,0.677,0.5286,0.8797
SP,Tarumã,0.7713,1,0.9165,0.5943,0.5744
PR,Jussara,0.7713,1,1,0.5503,0.5348
PR,Maringá,0.7708,1,0.5742,0.7374,0.7715
MT,Nova Mutum,0.7707,1,0.7251,0.6714,0.6862
SC,Jaraguá do Sul,0.77,1,0.7617,0.9146,0.4036
RS,Nova Petrópolis,0.7699,1,0.9042,0.6858,0.4896
GO,Montes Claros de Goiás,0.7698,0.9839,0.6746,1,0.4206
MS,Bonito,0.7697,1,0.6387,1,0.4402
SP,Águas de São Pedro,0.7697,0.8827,0.8185,1,0.3774
PR,Curitiba,0.7692,1,1,0.9449,0.1321
SC,Maravilha,0.7687,1,0.4083,0.6665,1
MG,Patrocínio,0.7684,1,0.7278,1,0.3456
PR,Serranópolis do Iguaçu,0.7683,1,0.6002,0.7083,0.7648
MG,Nova Resende,0.7683,0.8509,0.7322,1,0.49
RS,Três Passos,0.768,1,0.6495,0.8878,0.5347
MT,Apiacás,0.7679,0.9354,0.5902,1,0.5458
PR,Terra Rica,0.7676,1,0.3984,1,0.6721
SC,Jacinto Machado,0.7675,0.902,0.5168,0.6512,1
SC,Cunhataí,0.7675,0.5748,1,0.7107,0.7843
BA,Bom Jesus da Lapa,0.7674,0.5201,1,0.5496,1
PR,Chopinzinho,0.7669,1,0.67,0.5722,0.8254
PI,Oeiras,0.7666,0.459,0.9586,0.6489,1
SC,Botuverá,0.7666,1,0.4353,0.6612,0.9699
SP,Mairiporã,0.7661,1,0.8637,0.6952,0.5057
SC,Pinhalzinho,0.7659,1,0.4872,0.8501,0.7262
MG,Piumhi,0.7658,1,0.7442,1,0.3191
RS,Coqueiro Baixo,0.7653,0.6369,1,0.6992,0.7251
SP,Mongaguá,0.7652,1,0.639,1,0.4216
RS,Flores da Cunha,0.7647,1,0.9274,0.5818,0.5495
SC,Peritiba,0.7645,0.643,0.5444,0.8707,1
PR,Dois Vizinhos,0.7641,1,0.8072,0.5391,0.7102
ES,Ecoporanga,0.7635,0.6734,1,1,0.3807
MS,Três Lagoas,0.7635,1,0.8052,1,0.2488
RS,Antônio Prado,0.7634,0.9817,0.9359,0.7371,0.3988
SC,Concórdia,0.7629,1,1,0.8214,0.2302
MG,Lagoa da Prata,0.7627,1,0.6116,1,0.4391
BA,Ibirapuã,0.7626,0.7666,1,0.6489,0.635
SP,São José dos Campos,0.7623,1,1,0.5297,0.5194
SC,Novo Horizonte,0.7622,0.6193,1,1,0.4294
GO,Ceres,0.7621,0.3801,1,1,0.6681
RS,Barão,0.7615,1,1,0.5237,0.5223
RS,Pantano Grande,0.7615,0.9659,0.6747,1,0.4055
MG,Capitólio,0.7614,1,0.4381,0.822,0.7855
RS,Nova Santa Rita,0.7608,1,0.5161,1,0.5272
SP,Bauru,0.7608,1,0.6182,1,0.425
ES,Venda Nova do Imigrante,0.7608,0.7646,0.7552,0.7594,0.764
RO,Pimenteiras do Oeste,0.7604,0.4469,1,0.8353,0.7593
SP,Torrinha,0.7602,1,0.8804,0.4584,0.7021
MS,Maracaju,0.7602,1,0.723,1,0.3177
PR,Capitão Leônidas Marques,0.7601,1,0.4436,0.5969,1
SP,Sales Oliveira,0.7599,1,0.6486,1,0.3911
SC,Treze Tílias,0.7588,1,0.7259,0.738,0.5715
RS,Putinga,0.7586,0.4291,0.94,1,0.6654
GO,Aruanã,0.7586,0.9766,0.7327,0.7306,0.5944
SC,São José do Cedro,0.758,1,0.866,0.7251,0.441
SC,Tangará,0.7575,1,0.4785,0.8475,0.7042
PR,Terra Boa,0.7575,0.8163,0.9272,0.6358,0.6508
SP,Presidente Epitácio,0.7575,1,0.9645,0.6367,0.4289
SP,Colina,0.7573,1,0.7064,0.6887,0.6342
SC,Maracajá,0.7573,0.7213,0.5504,1,0.7575
SP,Motuca,0.7572,0.6302,0.9151,1,0.4836
SC,Vargem Bonita,0.7569,1,0.9245,1,0.1032
ES,Domingos Martins,0.7567,0.9399,0.9985,0.7101,0.3783
SC,Vargeão,0.7567,0.8639,0.9238,0.8872,0.3518
