"V0011","V6121","n","n_se"
3304557005002,"831",22.7725546159688,0
3304557005002,"850",237.902321280203,0
3304557005002,"890",210.462294177259,0
3304557005002,"990",121.396208282251,0
3304557005003,"0",2150.42508050483,0
3304557005003,"1",187.50824191783,0
3304557005003,"2",781.540873849097,0
3304557005003,"110",11588.2990052716,0
3304557005003,"111",160.133426103973,0
3304557005003,"120",72.5568445679838,0
3304557005003,"130",24.67676661566,0
3304557005003,"210",74.7319854833011,0
3304557005003,"220",44.6406658259316,0
3304557005003,"225",123.982882764903,0
3304557005003,"230",192.826799043217,0
3304557005003,"240",135.614257964223,0
3304557005003,"260",293.327362129513,0
3304557005003,"450",86.1691884573941,0
3304557005003,"455",28.4624591800616,0
3304557005003,"490",575.72247298163,0
3304557005003,"590",92.1630063583515,0
3304557005003,"610",2366.00280813911,0
3304557005003,"620",153.602706603885,0
3304557005003,"710",307.966145240012,0
3304557005003,"750",66.6095084139756,0
3304557005003,"760",51.936238759832,0
3304557005003,"766",134.381881936674,0
3304557005003,"810",69.88634078571,0
3304557005003,"820",35.9767525061085,0
3304557005003,"832",31.5773572294731,0
3304557005003,"850",150.779107915531,0
3304557005003,"890",83.499833450185,0
3304557005004,"0",4748.68186640903,0
3304557005004,"2",293.765977786906,0
3304557005004,"110",11242.3597240331,0
3304557005004,"111",113.320483414146,0
3304557005004,"220",20.6308147114218,0
3304557005004,"230",403.468583388064,0
3304557005004,"231",81.5616161732055,0
3304557005004,"232",43.7713563219665,0
3304557005004,"240",2039.01160865957,0
3304557005004,"243",170.901350660333,0
3304557005004,"245",106.045523727595,0
3304557005004,"249",229.521096701194,0
3304557005004,"250",213.526553403519,0
3304557005004,"259",47.9808565713492,0
3304557005004,"260",130.205613901348,0
3304557005004,"310",3895.38318599294,0
3304557005004,"320",252.827574315805,0
3304557005004,"340",121.63160920264,0
3304557005004,"350",513.163070687913,0
3304557005004,"370",28.411840884976,0
3304557005004,"380",115.287462098481,0
3304557005004,"390",110.176839854259,0
3304557005004,"430",154.137860660215,0
3304557005004,"440",30.2327553608601,0
3304557005004,"449",97.7117751053259,0
3304557005004,"450",573.467903146159,0
3304557005004,"451",20.2788410245007,0
3304557005004,"452",40.7844304340236,0
3304557005004,"455",237.542677961954,0
3304557005004,"490",2024.60557565785,0
3304557005004,"499",267.819469022456,0
3304557005004,"510",129.506198158602,0
3304557005004,"590",22.7716475199315,0
3304557005004,"610",924.81681004523,0
3304557005004,"620",76.7987495892528,0
3304557005004,"630",87.3806642387899,0
3304557005004,"750",154.593251966744,0
3304557005004,"820",57.5828601826476,0
3304557005004,"850",674.540917299731,0
3304557005004,"890",103.793003725813,0
3304557005005,"0",5801.82498292403,0
3304557005005,"2",232.995198578372,0
3304557005005,"110",11643.9209235085,0
3304557005005,"111",72.9173935182108,0
3304557005005,"120",119.576526039354,0
3304557005005,"220",242.222881944771,0
3304557005005,"225",276.765971403706,0
3304557005005,"230",487.187600680047,0
3304557005005,"240",619.91000625714,0
3304557005005,"243",131.662078374098,0
3304557005005,"245",75.459508319327,0
3304557005005,"250",62.5698331898432,0
3304557005005,"310",3510.63487707571,0
3304557005005,"319",29.7924243274439,0
3304557005005,"330",109.747153803959,0
3304557005005,"340",141.166181871304,0
3304557005005,"350",889.725776576142,0
3304557005005,"360",19.0450048728306,0
3304557005005,"380",77.7176525195266,0
3304557005005,"390",96.8380019226619,0
3304557005005,"430",52.735711878799,0
3304557005005,"450",1073.33320613019,0
3304557005005,"451",43.1599147146934,0
3304557005005,"455",94.2743448326893,0
3304557005005,"490",3980.87046724185,0
3304557005005,"499",45.9300992768561,0
3304557005005,"520",222.337737275336,0
3304557005005,"610",905.356309005701,0
3304557005005,"630",4.9324343887276,0
3304557005005,"850",1225.51676558318,0
3304557005005,"890",515.873031964918,0
3304557005006,"0",5766.47005939988,0
3304557005006,"2",271.375796792533,0
3304557005006,"110",10565.1597266048,0
3304557005006,"111",167.262526743617,0
3304557005006,"120",67.1737047818256,0
3304557005006,"230",58.188638236542,0
3304557005006,"231",93.8462945697656,0
3304557005006,"239",19.396212745514,0
3304557005006,"240",861.330041076764,0
3304557005006,"243",80.5074122747887,0
3304557005006,"244",42.6996266136422,0
3304557005006,"245",115.127316443165,0
3304557005006,"249",22.9111823809504,0
3304557005006,"260",310.85796393908,0
3304557005006,"262",28.7269331624976,0
3304557005006,"310",4409.64035379874,0
3304557005006,"319",103.912275389007,0
3304557005006,"320",97.0404392745756,0
3304557005006,"340",166.061132578565,0
3304557005006,"350",389.779218411647,0
3304557005006,"360",25.9896048632062,0
3304557005006,"370",105.689252221169,0
3304557005006,"380",30.549684139364,0
3304557005006,"390",118.433878251939,0
3304557005006,"430",131.755060136289,0
3304557005006,"440",214.219468933885,0
3304557005006,"449",14.2761625914533,0
3304557005006,"450",1745.84029259664,0
3304557005006,"451",137.044563447539,0
3304557005006,"490",2969.53149851367,0
3304557005006,"499",96.2307230113242,0
3304557005006,"520",280.292359873134,0
3304557005006,"610",560.075317655735,0
3304557005006,"620",157.350297421804,0
3304557005006,"630",25.2605528900188,0
3304557005006,"820",218.029989987905,0
3304557005006,"850",1111.21919971267,0
3304557005006,"890",212.639831428437,0
